Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
43 1980996 2134716 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 937 3 0 965 3 0 28/09/22 21:25:55
44 1981988 2133724 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 1282 6 0 1169 4 0 28/09/22 21:25:56
45 1981336 2134376 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 2105 7 0 2096 9 0 28/09/22 21:25:57
46 1980956 2134756 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 3743 11 0 3208 11 0 28/09/22 21:25:58
47 1981736 2133976 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 937 3 0 965 3 0 28/09/22 21:25:59
48 1981092 2134620 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 969 3 0 965 3 0 28/09/22 21:26:00
49 1981792 2133920 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 2026 7 0 1930 6 0 28/09/22 21:26:01
50 1980932 2134780 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 4501 14 0 5267 14 0 28/09/22 21:26:02
51 1982112 2133596 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 1089 4 0 965 3 0 28/09/22 21:26:03
52 1980984 2134724 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 935 3 0 965 3 0 28/09/22 21:26:04
53 1981740 2133968 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 1089 4 0 965 3 0 28/09/22 21:26:05
54 1981008 2134700 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 1128 5 0 1169 4 0 28/09/22 21:26:06
55 1981876 2133832 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 4518 14 0 3727 15 0 28/09/22 21:26:07
56 1981332 2134376 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 935 3 0 965 3 0 28/09/22 21:26:09
