Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 247688 5240680 1088 0 0 1992552 108280 6% 0.36 0.31 5.70 0.04 93.58 1088 4 0 971 3 0 05/10/22 22:14:17
2 249352 5238784 1088 0 0 1992552 108280 6% 0.36 0.31 5.70 0.04 93.58 942 3 0 971 3 0 05/10/22 22:14:18
3 248732 5239392 1088 0 0 1992552 108280 6% 0.36 0.31 5.69 0.04 93.59 2517 9 0 2746 8 0 05/10/22 22:14:19
4 248124 5239992 1088 0 0 1992552 108280 6% 0.36 0.31 5.69 0.04 93.59 1479 4 0 1037 4 0 05/10/22 22:14:20
5 249380 5238652 1088 0 0 1992552 108280 6% 0.36 0.31 5.68 0.04 93.59 1055 4 0 971 3 0 05/10/22 22:14:21
6 248452 5239580 1088 0 0 1992552 108280 6% 0.37 0.31 5.68 0.04 93.59 975 3 0 971 3 0 05/10/22 22:14:22
7 249516 5238516 1088 0 0 1992552 108280 6% 0.37 0.31 5.68 0.04 93.59 1055 4 0 971 3 0 05/10/22 22:14:23
8 248492 5239540 1088 0 0 1992552 108280 6% 0.37 0.31 5.67 0.04 93.60 4665 16 0 6175 17 0 05/10/22 22:14:24
9 249540 5238484 1088 0 0 1992552 108280 6% 0.37 0.31 5.67 0.04 93.60 1646 6 0 1580 7 0 05/10/22 22:14:25
10 249572 5238452 1088 0 0 1992552 108280 6% 0.37 0.32 5.67 0.04 93.60 1528 6 0 1504 4 0 05/10/22 22:14:26
11 248792 5239232 1088 0 0 1992552 108280 6% 0.37 0.32 5.66 0.04 93.60 506 1 0 438 2 0 05/10/22 22:14:27
12 249920 5238104 1088 0 0 1992552 108280 6% 0.37 0.32 5.66 0.04 93.60 3037 10 0 2569 8 0 05/10/22 22:14:29
13 248800 5239224 1088 0 0 1992552 108280 6% 0.37 0.32 5.66 0.04 93.61 1010 4 0 1511 4 0 05/10/22 22:14:30
14 249540 5238484 1088 0 0 1992552 108280 6% 0.37 0.32 5.65 0.04 93.61 1090 4 0 971 3 0 05/10/22 22:14:31
15 248980 5239036 1088 0 0 1992552 108280 6% 0.37 0.32 5.65 0.04 93.61 1483 4 0 1409 5 0 05/10/22 22:14:32
16 249500 5238516 1088 0 0 1992552 108280 6% 0.37 0.32 5.65 0.04 93.61 551 3 0 533 1 0 05/10/22 22:14:33
17 248696 5239320 1088 0 0 1992552 108280 6% 0.37 0.32 5.64 0.04 93.62 5037 15 0 5423 15 0 05/10/22 22:14:34
18 249444 5238572 1088 0 0 1992552 108280 6% 0.37 0.32 5.64 0.04 93.62 3643 12 0 2923 11 0 05/10/22 22:14:35
19 248680 5239328 1088 0 0 1992552 108280 6% 0.37 0.32 5.64 0.04 93.62 1372 6 0 1368 6 0 05/10/22 22:14:36
20 249580 5238428 1088 0 0 1992552 108280 6% 0.37 0.32 5.63 0.04 93.62 1055 4 0 971 3 0 05/10/22 22:14:37
21 249004 5239004 1088 0 0 1992552 108280 6% 0.37 0.32 5.63 0.04 93.62 975 3 0 971 3 0 05/10/22 22:14:38
22 249588 5238420 1088 0 0 1992552 108280 6% 0.37 0.33 5.63 0.04 93.62 2628 9 0 2574 8 0 05/10/22 22:14:39
23 248940 5239068 1088 0 0 1992552 108280 6% 0.37 0.33 5.62 0.04 93.63 1406 5 0 1504 4 0 05/10/22 22:14:40
24 249436 5238572 1088 0 0 1992552 108280 6% 0.37 0.33 5.62 0.04 93.63 624 2 0 438 2 0 05/10/22 22:14:41
25 248988 5239012 1088 0 0 1992552 108280 6% 0.37 0.33 5.61 0.04 93.63 1612 7 0 1504 4 0 05/10/22 22:14:42
26 249532 5238468 1088 0 0 1992552 108280 6% 0.38 0.33 5.61 0.04 93.63 3995 11 0 4410 14 0 05/10/22 22:14:44
27 249028 5238972 1088 0 0 1992552 108280 6% 0.38 0.33 5.61 0.04 93.64 3513 14 0 3349 12 0 05/10/22 22:14:45
28 249532 5238468 1088 0 0 1992552 108280 6% 0.38 0.33 5.60 0.04 93.64 1339 6 0 1368 6 0 05/10/22 22:14:46
29 248712 5239288 1088 0 0 1992552 108280 6% 0.38 0.33 5.60 0.04 93.64 1088 4 0 971 3 0 05/10/22 22:14:47
30 249556 5238436 1088 0 0 1992552 108280 6% 0.38 0.33 5.60 0.04 93.64 942 3 0 971 3 0 05/10/22 22:14:48
31 249572 5238420 1088 0 0 1992552 108280 6% 0.38 0.33 5.59 0.04 93.65 2124 8 0 2136 6 0 05/10/22 22:14:49
32 248744 5239248 1088 0 0 1992552 108280 6% 0.38 0.33 5.59 0.04 93.65 1479 4 0 1409 5 0 05/10/22 22:14:50
33 249564 5238428 1088 0 0 1992552 108280 6% 0.38 0.33 5.59 0.04 93.65 2773 10 0 3601 10 0 05/10/22 22:14:51
34 249008 5238932 1088 0 0 1992552 108280 6% 0.38 0.33 5.60 0.04 93.64 3042 9 0 3037 9 0 05/10/22 22:14:52
35 249960 5237980 1088 0 0 1992552 108280 6% 0.38 0.33 5.59 0.04 93.64 1073 4 0 977 3 0 05/10/22 22:14:53
36 248904 5239036 1088 0 0 1992552 108280 6% 0.38 0.34 5.59 0.04 93.65 1045 4 0 977 3 0 05/10/22 22:14:54
37 250308 5237632 1088 0 0 1992552 108280 6% 0.38 0.34 5.58 0.04 93.65 16971574 11454 0 16094765 10869 0 05/10/22 22:14:55
38 330416 5157100 1088 0 0 1992552 108280 6% 0.39 0.34 5.58 0.04 93.63 4771202 3567 0 5092525 3761 0 05/10/22 22:14:56
39 338488 5112688 1088 0 0 1992552 108280 6% 0.41 0.35 5.61 0.05 93.57 4418799 3326 0 4423245 3319 0 05/10/22 22:14:57
40 341444 5109372 1088 0 0 1992552 108280 6% 0.43 0.36 5.65 0.05 93.50 4488179 3409 0 4537233 3417 0 05/10/22 22:14:58
