Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 249612 5219172 1084 0 0 1992552 108280 6% 0.34 0.44 0.75 0.03 98.43 6726 16 0 5045 19 0 29/09/22 23:04:11
2 249416 5219384 1084 0 0 1992552 108280 6% 0.34 0.44 0.75 0.03 98.43 935 5 0 1776 3 0 29/09/22 23:04:12
3 249400 5219400 1084 0 0 1992552 108280 6% 0.34 0.44 0.75 0.03 98.43 1665 6 0 1939 6 0 29/09/22 23:04:13
4 249776 5218980 1084 0 0 1992552 108280 6% 0.34 0.44 0.76 0.03 98.42 431 2 0 533 1 0 29/09/22 23:04:14
5 250980 5217776 1084 0 0 1992552 108280 6% 0.34 0.44 0.76 0.03 98.42 751 5 0 737 2 0 29/09/22 23:04:15
6 250280 5218476 1084 0 0 1992552 108280 6% 0.34 0.44 0.76 0.03 98.42 3448 10 0 3755 12 0 29/09/22 23:04:16
7 250940 5217816 1084 0 0 1992552 108280 6% 0.34 0.44 0.76 0.03 98.41 688 5 0 1067 2 0 29/09/22 23:04:17
8 250540 5218216 1084 0 0 1992552 108280 6% 0.34 0.44 0.76 0.03 98.41 1472 4 0 1405 5 0 29/09/22 23:04:18
9 251104 5217648 1084 0 0 1992552 108280 6% 0.34 0.44 0.75 0.03 98.41 558 3 0 533 1 0 29/09/22 23:04:19
10 250296 5218452 1084 0 0 1992552 108280 6% 0.34 0.45 0.75 0.03 98.41 2073 8 0 1995 10 0 29/09/22 23:04:20
11 250932 5217816 1084 0 0 1992552 108280 6% 0.34 0.45 0.75 0.03 98.41 3119 9 0 1973 6 0 29/09/22 23:04:22
12 250168 5218572 1084 0 0 1992552 108280 6% 0.34 0.45 0.75 0.03 98.41 1107 3 0 1410 5 0 29/09/22 23:04:23
13 250972 5217768 1084 0 0 1992552 108280 6% 0.34 0.45 0.75 0.03 98.41 989 5 0 1066 2 0 29/09/22 23:04:24
14 250672 5218068 1084 0 0 1992552 108280 6% 0.34 0.45 0.75 0.03 98.41 1161 3 0 876 4 0 29/09/22 23:04:25
15 250200 5218540 1084 0 0 1992552 108280 6% 0.34 0.45 0.75 0.03 98.41 2448 9 0 2808 7 0 29/09/22 23:04:26
16 250956 5217784 1084 0 0 1992552 108280 6% 0.34 0.45 0.75 0.03 98.41 1161 3 0 876 4 0 29/09/22 23:04:27
17 250168 5218564 1084 0 0 1992552 108280 6% 0.34 0.45 0.75 0.03 98.40 935 5 0 1600 3 0 29/09/22 23:04:28
18 250980 5217752 1084 0 0 1992552 108280 6% 0.34 0.46 0.75 0.03 98.40 1599 5 0 1409 5 0 29/09/22 23:04:29
19 250144 5218588 1084 0 0 1992552 108280 6% 0.34 0.46 0.75 0.03 98.40 1032 6 0 1123 6 0 29/09/22 23:04:30
20 251044 5217688 1084 0 0 1992552 108280 6% 0.35 0.46 0.75 0.03 98.40 6121 16 0 4712 16 0 29/09/22 23:04:31
21 249876 5218856 1084 0 0 1992552 108280 6% 0.35 0.46 0.75 0.03 98.40 1604 6 0 2640 7 0 29/09/22 23:04:32
22 250996 5217728 1084 0 0 1992552 108280 6% 0.35 0.46 0.75 0.03 98.40 644 4 0 533 1 0 29/09/22 23:04:33
23 250176 5218548 1084 0 0 1992552 108280 6% 0.35 0.46 0.75 0.03 98.39 1472 4 0 1409 5 0 29/09/22 23:04:34
24 250920 5217784 1084 0 0 1992552 108280 6% 0.35 0.46 0.75 0.03 98.39 751 5 0 737 2 0 29/09/22 23:04:35
25 250116 5218588 1084 0 0 1992552 108280 6% 0.35 0.46 0.75 0.03 98.39 2545 8 0 3085 9 0 29/09/22 23:04:36
26 251236 5217468 1084 0 0 1992552 108280 6% 0.35 0.46 0.75 0.03 98.39 1055 6 0 1600 3 0 29/09/22 23:04:38
27 250100 5218596 1084 0 0 1992552 108280 6% 0.35 0.47 0.75 0.03 98.39 1041 2 0 876 4 0 29/09/22 23:04:39
28 251164 5217532 1084 0 0 1992552 108280 6% 0.35 0.47 0.75 0.03 98.39 989 5 0 1066 2 0 29/09/22 23:04:40
29 250392 5218304 1084 0 0 1992552 108280 6% 0.35 0.47 0.75 0.03 98.39 5704 15 0 3348 18 0 29/09/22 23:04:41
30 251132 5217564 1084 0 0 1992552 108280 6% 0.35 0.47 0.75 0.03 98.39 1059 6 0 1759 3 0 29/09/22 23:04:42
31 250116 5218580 1084 0 0 1992552 108280 6% 0.35 0.47 0.75 0.03 98.39 3546221 2346 0 7422 92 0 29/09/22 23:04:43
32 278076 5190516 1084 0 0 1992552 108280 6% 0.35 0.47 0.76 0.04 98.37 1454207 1197 0 6738417 4612 0 29/09/22 23:04:44
33 300668 5167752 1084 0 0 1992552 108280 6% 0.36 0.48 0.77 0.04 98.35 2840917 2154 0 2868934 2157 0 29/09/22 23:04:45
34 306008 5162156 1084 0 0 1992552 108280 6% 0.37 0.48 0.79 0.04 98.31 3078659 2311 0 3073831 2292 0 29/09/22 23:04:46
35 311392 5156532 1084 0 0 1992552 108280 6% 0.38 0.49 0.82 0.04 98.26 4663139 3488 0 4665693 3481 0 29/09/22 23:04:47
36 320480 5147068 1084 0 0 1992552 108280 6% 0.40 0.50 0.86 0.04 98.20 4561261 3417 0 4603445 3427 0 29/09/22 23:04:48
37 334280 5132900 1084 0 0 1992552 108280 6% 0.42 0.51 0.90 0.04 98.13 4515271 3382 0 4557656 3393 0 29/09/22 23:04:49
38 352304 5103856 1084 0 0 1992552 108280 6% 0.44 0.51 0.94 0.04 98.06 4325109 3286 0 4420389 3331 0 29/09/22 23:04:51
39 356408 5095004 1084 0 0 1992552 108280 6% 0.46 0.52 0.97 0.04 97.99 3693722 2807 0 3728557 2817 0 29/09/22 23:04:52
