ID CpuUsr CpuSys CpuGst CpuWait CpuPerc MinFlt MajFlt %MEM Threads Swap RSS Size Data Hora
1 1.00 0.00 0.00 0.00 1.00 0.00 0.00 36.53 69 0 2222464 3933700 29/09/22 23:25:18
2 0.00 0.00 0.00 0.00 0.00 0.00 0.00 36.53 69 0 2222464 3933700 29/09/22 23:25:20
3 1.00 0.00 0.00 0.00 1.00 0.00 0.00 36.52 69 0 2222368 3933700 29/09/22 23:25:23
4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 36.52 69 0 2222368 3933700 29/09/22 23:25:25
5 1.00 1.00 0.00 0.00 2.00 0.00 0.00 36.52 69 0 2222368 3933700 29/09/22 23:25:27
6 0.00 0.00 0.00 0.00 0.00 0.00 0.00 36.52 69 0 2222368 3933700 29/09/22 23:25:29
7 4.00 0.00 0.00 0.00 4.00 0.00 0.00 36.52 69 0 2222268 3933700 29/09/22 23:25:31
8 0.00 0.00 0.00 0.00 0.00 0.00 0.00 36.52 69 0 2222268 3933700 29/09/22 23:25:33
9 1.00 0.00 0.00 0.00 1.00 0.00 0.00 36.52 69 0 2222268 3933700 29/09/22 23:25:35
10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 36.52 69 0 2222268 3933700 29/09/22 23:25:37
11 0.00 0.00 0.00 0.00 0.00 0.00 0.00 36.52 69 0 2222268 3933700 29/09/22 23:25:39
12 1.98 0.00 0.00 0.00 1.98 5.94 0.00 36.52 70 0 2222268 3934728 29/09/22 23:25:41
13 2.00 0.00 0.00 0.00 2.00 0.00 0.00 36.52 70 0 2222164 3934728 29/09/22 23:25:43
14 15.00 2.00 0.00 0.00 17.00 6.00 0.00 36.49 71 0 2220080 3934728 29/09/22 23:25:45
15 29.00 9.00 0.00 0.00 38.00 0.00 0.00 36.37 72 0 2213084 3934728 29/09/22 23:25:47
16 38.00 8.00 0.00 0.00 46.00 25.00 0.00 36.23 72 0 2204148 3934728 29/09/22 23:25:49
17 32.00 4.00 0.00 0.00 36.00 1.00 0.00 36.10 72 0 2196064 3934728 29/09/22 23:25:51
18 30.69 5.94 0.00 0.00 36.63 0.99 0.00 35.95 73 0 2187148 3934728 29/09/22 23:25:53
19 29.00 4.00 0.00 0.00 33.00 6.00 0.00 35.81 73 0 2178724 3934728 29/09/22 23:25:55
20 28.00 5.00 0.00 0.00 33.00 0.00 0.00 35.68 73 0 2171096 3934728 29/09/22 23:25:57
21 44.00 6.00 0.00 0.00 50.00 187.00 0.00 35.55 73 0 2162128 3934728 29/09/22 23:25:59
22 21.00 4.00 0.00 0.00 25.00 225.00 0.00 35.46 73 0 2156980 3934728 29/09/22 23:26:01
23 28.00 7.00 0.00 0.00 35.00 0.00 0.00 35.30 73 0 2148140 3934728 29/09/22 23:26:03
24 31.00 7.00 0.00 0.00 38.00 321.00 0.00 35.24 73 0 2144012 3934728 29/09/22 23:26:05
25 27.00 6.00 0.00 0.00 33.00 128.00 0.00 35.19 73 0 2141128 3934728 29/09/22 23:26:07
26 44.00 7.00 0.00 0.00 51.00 78.00 0.00 35.07 73 0 2133832 3934728 29/09/22 23:26:10
27 18.00 5.00 0.00 0.00 23.00 44.00 0.00 34.96 75 0 2127116 3942924 29/09/22 23:26:12
28 12.00 4.00 0.00 0.00 16.00 125.00 0.00 34.89 75 0 2122764 3942924 29/09/22 23:26:14
29 31.00 5.00 0.00 0.00 36.00 2.00 0.00 34.76 75 0 2114652 3942924 29/09/22 23:26:16
30 16.00 5.00 0.00 0.00 21.00 376.00 0.00 34.69 75 0 2110696 3942924 29/09/22 23:26:18
31 27.00 3.00 0.00 0.00 30.00 72.00 0.00 34.62 75 0 2106620 3942924 29/09/22 23:26:20
32 28.00 10.00 0.00 0.00 38.00 81.00 0.00 34.57 75 0 2103520 3942924 29/09/22 23:26:22
33 28.00 4.00 0.00 0.00 32.00 0.00 0.00 34.43 75 0 2095104 3942924 29/09/22 23:26:24
34 21.00 8.00 0.00 0.00 29.00 0.00 0.00 34.30 75 0 2086716 3942924 29/09/22 23:26:26
35 34.00 9.00 0.00 0.00 43.00 11.00 0.00 34.20 75 0 2080820 3942924 29/09/22 23:26:28
36 37.00 8.00 0.00 0.00 45.00 342.00 0.00 34.07 75 0 2073056 3942924 29/09/22 23:26:30
37 22.00 5.00 0.00 0.00 27.00 493.00 0.00 34.05 75 0 2071952 3942924 29/09/22 23:26:32
38 13.00 2.00 0.00 0.00 15.00 800.00 0.00 34.02 75 0 2069788 3942924 29/09/22 23:26:34
39 25.00 3.00 0.00 0.00 28.00 119.00 0.00 33.94 74 0 2065168 3942924 29/09/22 23:26:36
40 38.00 7.00 0.00 0.00 45.00 300.00 0.00 33.80 74 0 2056504 3942924 29/09/22 23:26:38
41 21.00 4.00 0.00 0.00 25.00 810.00 0.00 33.78 74 0 2055140 3942924 29/09/22 23:26:40
42 16.00 3.00 0.00 0.00 19.00 7.00 0.00 33.66 73 0 2048080 3942924 29/09/22 23:26:42
43 35.00 7.00 0.00 0.00 42.00 66.00 0.00 33.58 73 0 2042992 3942924 29/09/22 23:26:44
44 26.00 7.00 0.00 0.00 33.00 1271.00 0.00 33.58 73 0 2042956 3942924 29/09/22 23:26:46
45 26.00 8.00 0.00 0.00 34.00 24.00 0.00 33.48 74 0 2037236 3942924 29/09/22 23:26:48
46 41.58 5.94 0.00 0.00 47.52 1801.98 0.00 33.46 74 0 2036200 3942924 29/09/22 23:26:50
47 17.00 4.00 0.00 0.00 21.00 423.00 0.00 33.52 74 0 2039644 3942924 29/09/22 23:26:52
48 32.00 2.00 0.00 0.00 34.00 39.00 0.00 33.40 74 0 2032468 3942924 29/09/22 23:26:54
49 26.00 5.00 0.00 0.00 31.00 360.00 0.00 33.36 74 0 2029808 3942924 29/09/22 23:26:56
50 19.80 2.97 0.00 0.00 22.77 543.56 0.00 33.31 74 0 2026760 3942924 29/09/22 23:26:58
51 30.00 5.00 0.00 0.00 35.00 38.00 0.00 33.43 74 0 2034136 3942924 29/09/22 23:27:00
52 27.00 7.00 0.00 0.00 34.00 113.00 0.00 33.31 74 0 2027048 3942924 29/09/22 23:27:02
53 37.00 4.00 0.00 0.00 41.00 440.00 0.00 33.28 74 0 2024720 3942924 29/09/22 23:27:04
54 33.00 4.00 0.00 0.00 37.00 0.00 0.00 33.12 74 0 2015060 3942924 29/09/22 23:27:06
55 38.00 3.00 0.00 0.00 41.00 9.00 0.00 33.17 74 0 2017524 3942924 29/09/22 23:27:09
56 44.00 6.00 0.00 0.00 50.00 4421.00 0.00 33.30 73 0 2025456 3942924 29/09/22 23:27:11
57 12.00 2.00 0.00 0.00 14.00 1148.00 0.00 33.33 73 0 2027988 3942924 29/09/22 23:27:13
58 28.00 8.00 0.00 0.00 36.00 0.00 0.00 33.38 73 0 2031056 3942924 29/09/22 23:27:15
59 31.00 5.00 0.00 0.00 36.00 340.00 0.00 33.35 73 0 2029316 3942924 29/09/22 23:27:17
60 21.00 4.00 0.00 0.00 25.00 348.00 0.00 33.66 73 0 2047916 3942924 29/09/22 23:27:19
61 19.80 3.96 0.00 0.00 23.76 675.25 0.00 33.66 73 0 2047416 3942924 29/09/22 23:27:21
62 28.00 8.00 0.00 0.00 36.00 0.00 0.00 34.10 72 0 2075116 3942924 29/09/22 23:27:23
63 29.00 3.00 0.00 0.00 32.00 3.00 0.00 33.97 72 0 2066728 3942924 29/09/22 23:27:25
64 29.00 7.00 0.00 0.00 36.00 1950.00 0.00 34.07 72 0 2072828 3942924 29/09/22 23:27:27
65 23.00 5.00 0.00 0.00 28.00 3542.00 0.00 34.23 72 0 2082928 3942924 29/09/22 23:27:29
66 24.75 5.94 0.00 0.00 30.69 553.47 0.00 34.26 72 0 2084312 3942924 29/09/22 23:27:31
67 10.00 5.00 0.00 0.00 15.00 1109.00 0.00 34.83 72 0 2119168 3942924 29/09/22 23:27:33
68 20.00 5.00 0.00 0.00 25.00 156.00 0.00 34.84 72 0 2120148 3942924 29/09/22 23:27:35
69 30.00 4.00 0.00 0.00 34.00 123.00 0.00 35.10 73 0 2135924 3942924 29/09/22 23:27:37
70 18.00 3.00 0.00 0.00 21.00 921.00 0.00 35.13 73 0 2137492 3942924 29/09/22 23:27:39
71 32.00 7.00 0.00 0.00 39.00 158.00 0.00 35.25 73 0 2144592 3942924 29/09/22 23:27:41
72 20.00 5.00 0.00 0.00 25.00 555.00 0.00 35.91 73 0 2184760 3942924 29/09/22 23:27:43
73 29.00 4.00 0.00 0.00 33.00 69.00 0.00 35.89 73 0 2183632 3942924 29/09/22 23:27:45
74 22.00 5.00 0.00 0.00 27.00 168.00 0.00 35.86 73 0 2181904 3942924 29/09/22 23:27:47
75 22.00 5.00 0.00 0.00 27.00 454.00 0.00 35.87 73 0 2183036 3942924 29/09/22 23:27:49
76 33.00 4.00 0.00 0.00 37.00 120.00 0.00 36.51 73 0 2221772 3942924 29/09/22 23:27:51
77 14.00 5.00 0.00 0.00 19.00 1316.00 0.00 36.53 73 0 2223564 3942924 29/09/22 23:27:53
78 22.00 6.00 0.00 0.00 28.00 555.00 0.00 36.49 73 0 2220052 3942924 29/09/22 23:27:55
79 27.00 6.00 0.00 0.00 33.00 1772.00 0.00 36.61 73 0 2227552 3942924 29/09/22 23:27:57
80 26.00 7.00 0.00 0.00 33.00 313.00 0.00 36.55 73 0 2223848 3942924 29/09/22 23:27:59
81 33.00 5.00 0.00 0.00 38.00 210.00 0.00 36.57 73 0 2225020 3942924 29/09/22 23:28:01
82 31.00 3.00 0.00 0.00 34.00 371.00 0.00 36.48 73 0 2219672 3942924 29/09/22 23:28:03
83 37.00 4.00 0.00 0.00 41.00 1102.00 0.00 36.65 73 0 2230148 3942924 29/09/22 23:28:06
84 21.78 3.96 0.00 0.00 25.74 128.71 0.00 36.60 73 0 2227248 3942924 29/09/22 23:28:08
85 36.00 9.00 0.00 0.00 45.00 2657.00 0.00 36.70 73 0 2233052 3942924 29/09/22 23:28:10
86 34.00 4.00 0.00 0.00 38.00 1097.00 0.00 36.68 73 0 2231892 3942924 29/09/22 23:28:12
87 38.00 6.00 0.00 0.00 44.00 1268.00 0.00 36.69 73 0 2232304 3942924 29/09/22 23:28:14
88 39.60 12.87 0.00 0.00 52.48 2572.28 0.00 36.77 73 0 2237108 3942924 29/09/22 23:28:16
89 32.00 3.00 0.00 0.00 35.00 259.00 0.00 36.69 73 0 2232356 3942924 29/09/22 23:28:18
90 26.00 4.00 0.00 0.00 30.00 707.00 0.00 36.61 73 0 2227284 3942924 29/09/22 23:28:20
91 36.00 4.00 0.00 0.00 40.00 181.00 0.00 36.59 73 0 2226000 3942924 29/09/22 23:28:22
92 19.00 2.00 0.00 0.00 21.00 105.00 0.00 36.74 73 0 2235320 3942924 29/09/22 23:28:24
93 21.00 9.00 0.00 0.00 30.00 678.00 0.00 36.77 73 0 2237148 3942924 29/09/22 23:28:26
94 38.00 6.00 0.00 0.00 44.00 1985.00 0.00 36.75 73 0 2236244 3942924 29/09/22 23:28:28
95 28.00 8.00 0.00 0.00 36.00 148.00 0.00 36.75 73 0 2235932 3942924 29/09/22 23:28:30
96 31.00 6.00 0.00 0.00 37.00 744.00 0.00 36.73 73 0 2235140 3942924 29/09/22 23:28:32
97 29.00 8.00 0.00 0.00 37.00 71.00 0.00 36.79 73 0 2238544 3942924 29/09/22 23:28:34
98 15.00 3.00 0.00 0.00 18.00 563.00 0.00 36.79 73 0 2238468 3942924 29/09/22 23:28:36
99 40.00 9.00 0.00 0.00 49.00 2488.00 0.00 36.85 73 0 2242004 3942924 29/09/22 23:28:38
100 13.00 4.00 0.00 0.00 17.00 1033.00 0.00 36.82 73 0 2240648 3942924 29/09/22 23:28:40
101 28.00 6.00 0.00 0.00 34.00 135.00 0.00 36.83 73 0 2240680 3942924 29/09/22 23:28:42
102 51.49 5.94 0.00 0.00 57.43 1777.23 0.00 36.87 73 0 2243292 3942924 29/09/22 23:28:44
103 17.00 5.00 0.00 0.00 22.00 442.00 0.00 36.84 73 0 2242092 3942924 29/09/22 23:28:46
104 35.00 4.00 0.00 0.00 39.00 157.00 0.00 36.77 74 0 2237344 3942924 29/09/22 23:28:48
105 25.00 6.00 0.00 0.00 31.00 1363.00 0.00 36.80 74 0 2239292 3942924 29/09/22 23:28:50
106 39.00 8.00 0.00 0.00 47.00 1725.00 0.00 36.84 74 0 2241148 3942924 29/09/22 23:28:52
107 47.00 13.00 0.00 0.00 60.00 777.00 0.00 36.85 74 0 2241900 3942924 29/09/22 23:28:54
108 29.00 9.00 0.00 0.00 38.00 192.00 0.00 36.81 74 0 2239472 3942924 29/09/22 23:28:56
109 31.00 0.00 0.00 0.00 31.00 288.00 0.00 36.71 74 0 2233612 3942924 29/09/22 23:28:58
110 40.00 7.00 0.00 0.00 47.00 371.00 0.00 36.60 74 0 2226708 3942924 29/09/22 23:29:01
111 26.00 9.00 0.00 0.00 35.00 4223.00 0.00 36.86 74 0 2242768 3942924 29/09/22 23:29:03
112 28.00 7.00 0.00 0.00 35.00 15.00 0.00 36.81 74 0 2239440 3942924 29/09/22 23:29:05
113 22.00 3.00 0.00 0.00 25.00 608.00 0.00 36.78 74 0 2237748 3942924 29/09/22 23:29:07
114 46.00 6.00 0.00 0.00 52.00 1016.00 0.00 36.74 74 0 2234944 3942924 29/09/22 23:29:09
115 33.00 8.00 0.00 0.00 41.00 1261.00 0.00 36.80 74 0 2239140 3942924 29/09/22 23:29:11
116 30.00 4.00 0.00 0.00 34.00 313.00 0.00 36.82 74 0 2240468 3942924 29/09/22 23:29:13
117 28.00 4.00 0.00 0.00 32.00 161.00 0.00 36.81 74 0 2239552 3942924 29/09/22 23:29:15
118 38.00 6.00 0.00 0.00 44.00 37.00 0.00 36.73 73 0 2234968 3942924 29/09/22 23:29:17
119 33.00 8.00 0.00 0.00 41.00 1326.00 0.00 36.83 73 0 2241208 3942924 29/09/22 23:29:19
120 26.00 9.00 0.00 0.00 35.00 824.00 0.00 36.80 73 0 2239196 3942924 29/09/22 23:29:21
121 30.00 5.00 0.00 0.00 35.00 169.00 0.00 36.82 73 0 2239892 3942924 29/09/22 23:29:23
122 33.00 4.00 0.00 0.00 37.00 194.00 0.00 36.69 73 0 2232632 3942924 29/09/22 23:29:25
123 23.00 6.00 0.00 0.00 29.00 3503.00 0.00 36.88 73 0 2243844 3942924 29/09/22 23:29:27
124 30.00 8.00 0.00 0.00 38.00 1139.00 0.00 36.89 73 0 2244472 3942924 29/09/22 23:29:29
