ID CpuUsr CpuSys CpuGst CpuWait CpuPerc MinFlt MajFlt %MEM Threads Swap RSS Size Data Hora
1 2.00 0.00 0.00 0.00 2.00 1.00 0.00 1.79 63 0 108820 1796332 05/10/22 22:57:20
2 1.00 1.00 0.00 0.00 2.00 0.00 0.00 1.79 63 0 108820 1796332 05/10/22 22:57:22
3 1.00 0.00 0.00 0.00 1.00 0.00 0.00 1.79 63 0 108820 1796332 05/10/22 22:57:24
4 1.00 0.00 0.00 0.00 1.00 0.00 0.00 1.79 63 0 108820 1796332 05/10/22 22:57:26
5 1.00 0.00 0.00 0.00 1.00 0.00 0.00 1.79 63 0 108820 1796332 05/10/22 22:57:28
6 2.00 0.00 0.00 0.00 2.00 20.00 0.00 1.79 63 0 108820 1796332 05/10/22 22:57:30
7 0.00 1.00 0.00 0.00 1.00 0.00 0.00 1.79 63 0 108820 1796332 05/10/22 22:57:33
8 2.00 0.00 0.00 0.00 2.00 0.00 0.00 1.79 63 0 108820 1796332 05/10/22 22:57:35
9 0.00 2.00 0.00 0.00 2.00 1.00 0.00 1.79 63 0 108820 1796332 05/10/22 22:57:37
10 1.00 1.00 0.00 0.00 2.00 0.00 0.00 1.79 63 0 108820 1796332 05/10/22 22:57:39
11 1.00 0.00 0.00 0.00 1.00 0.00 0.00 1.79 63 0 108820 1796332 05/10/22 22:57:41
12 0.00 1.00 0.00 0.00 1.00 0.00 0.00 1.79 63 0 108820 1796332 05/10/22 22:57:43
13 0.00 0.99 0.00 0.00 0.99 0.00 0.00 1.79 63 0 108820 1796332 05/10/22 22:57:45
14 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.79 63 0 108820 1796332 05/10/22 22:57:47
15 0.99 0.00 0.00 0.00 0.99 1.98 0.00 1.79 64 0 108820 1796332 05/10/22 22:57:49
16 0.00 0.00 0.00 0.00 0.00 17.00 0.00 1.80 64 0 109336 1799072 05/10/22 22:57:51
17 21.00 18.00 0.00 0.00 39.00 10101.00 0.00 2.67 65 0 162528 1836992 05/10/22 22:57:53
18 29.00 0.00 0.00 0.00 29.00 3950.00 0.00 3.13 65 0 190476 1860556 05/10/22 22:57:55
19 29.00 0.00 0.00 0.00 29.00 1764.00 0.00 3.44 66 0 209564 1903292 05/10/22 22:57:57
20 27.00 0.00 0.00 0.00 27.00 2058.00 0.00 3.80 66 0 232040 1903292 05/10/22 22:57:59
21 34.00 0.00 0.00 0.00 34.00 1705.00 0.00 4.18 66 0 254228 1944864 05/10/22 22:58:01
22 18.00 0.00 0.00 0.00 18.00 926.00 0.00 4.63 66 0 281676 1952872 05/10/22 22:58:03
23 27.00 4.00 0.00 0.00 31.00 871.00 0.00 4.93 66 0 300276 1968160 05/10/22 22:58:05
24 15.00 2.00 0.00 0.00 17.00 158.00 0.00 5.24 66 0 319004 1989204 05/10/22 22:58:07
25 37.00 5.00 0.00 0.00 42.00 6176.00 0.00 5.94 70 0 361244 2045752 05/10/22 22:58:09
26 26.00 3.00 0.00 0.00 29.00 1115.00 0.00 6.00 71 0 364784 2053948 05/10/22 22:58:11
27 24.00 6.00 0.00 0.00 30.00 33.00 0.00 6.46 71 0 392996 2107856 05/10/22 22:58:13
