Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 1966324 2127080 1096 0 0 1992552 108280 6% 1.31 0.39 2.55 0.09 95.66 1055 4 0 965 3 0 28/09/22 21:03:30
2 1966636 2126764 1096 0 0 1992552 108280 6% 1.31 0.39 2.55 0.09 95.66 969 3 0 965 3 0 28/09/22 21:03:31
3 1966628 2126772 1096 0 0 1992552 108280 6% 1.31 0.39 2.55 0.09 95.66 2024 7 0 1930 6 0 28/09/22 21:03:32
4 1966312 2127088 1096 0 0 1992552 108280 6% 1.31 0.39 2.54 0.09 95.66 0 0 0 66 1 0 28/09/22 21:03:33
5 1967664 2125692 1096 0 0 1992552 108280 6% 1.31 0.39 2.54 0.09 95.66 1520 6 0 1492 4 0 28/09/22 21:03:34
6 1967208 2126148 1096 0 0 1992552 108280 6% 1.31 0.39 2.54 0.09 95.66 935 3 0 965 3 0 28/09/22 21:03:35
7 1967956 2125400 1096 0 0 1992552 108280 6% 1.31 0.39 2.54 0.09 95.66 2787 10 0 1980 7 0 28/09/22 21:03:36
8 1967208 2126148 1096 0 0 1992552 108280 6% 1.31 0.39 2.54 0.09 95.66 3250 10 0 3028 13 0 28/09/22 21:03:37
9 1967980 2125376 1096 0 0 1992552 108280 6% 1.31 0.39 2.54 0.09 95.66 1155 5 0 1465 4 0 28/09/22 21:03:38
10 1967264 2126092 1096 0 0 1992552 108280 6% 1.31 0.39 2.54 0.09 95.66 935 3 0 965 3 0 28/09/22 21:03:39
11 1967948 2125408 1096 0 0 1992552 108280 6% 1.31 0.39 2.54 0.09 95.66 1089 4 0 965 3 0 28/09/22 21:03:40
12 1967248 2126108 1096 0 0 1992552 108280 6% 1.31 0.39 2.54 0.09 95.66 935 3 0 965 3 0 28/09/22 21:03:42
13 1967948 2125408 1096 0 0 1992552 108280 6% 1.31 0.39 2.54 0.09 95.66 4594 14 0 4907 15 0 28/09/22 21:03:43
