Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 244420 4042984 1088 0 0 1992552 108280 6% 4.58 1.53 15.75 0.30 77.83 1665 6 0 2091 6 0 05/10/22 22:57:16
2 244360 4043040 1088 0 0 1992552 108280 6% 4.57 1.53 15.75 0.30 77.84 2704 10 0 3083 9 0 05/10/22 22:57:17
3 244504 4042896 1088 0 0 1992552 108280 6% 4.57 1.53 15.76 0.30 77.83 3581 11 0 3660 12 0 05/10/22 22:57:18
4 244432 4042968 1088 0 0 1992552 108280 6% 4.57 1.53 15.76 0.30 77.83 431 2 0 533 1 0 05/10/22 22:57:19
5 244536 4042864 1088 0 0 1992552 108280 6% 4.57 1.53 15.76 0.30 77.84 1600 5 0 1409 5 0 05/10/22 22:57:20
6 246100 4041296 1088 0 0 1992552 108280 6% 4.57 1.53 15.75 0.30 77.84 431 2 0 533 1 0 05/10/22 22:57:21
7 244908 4042488 1088 0 0 1992552 108280 6% 4.57 1.53 15.75 0.30 77.84 1162 3 0 876 4 0 05/10/22 22:57:22
8 246068 4041328 1088 0 0 1992552 108280 6% 4.57 1.53 15.74 0.30 77.85 869 4 0 1066 2 0 05/10/22 22:57:23
9 245648 4041748 1088 0 0 1992552 108280 6% 4.57 1.53 15.74 0.30 77.85 1162 3 0 876 4 0 05/10/22 22:57:24
10 245312 4042084 1088 0 0 1992552 108280 6% 4.57 1.53 15.74 0.30 77.86 935 5 0 1747 3 0 05/10/22 22:57:25
11 245720 4041676 1088 0 0 1992552 108280 6% 4.57 1.53 15.74 0.30 77.86 3432 11 0 3410 12 0 05/10/22 22:57:27
12 245160 4042236 1088 0 0 1992552 108280 6% 4.57 1.53 15.73 0.30 77.86 3903 12 0 4209 13 0 05/10/22 22:57:28
13 245720 4041676 1088 0 0 1992552 108280 6% 4.57 1.53 15.74 0.30 77.86 551 3 0 533 1 0 05/10/22 22:57:29
14 245192 4042204 1088 0 0 1992552 108280 6% 4.56 1.53 15.74 0.30 77.86 1543 5 0 1409 5 0 05/10/22 22:57:30
15 246028 4041368 1088 0 0 1992552 108280 6% 4.56 1.53 15.74 0.30 77.86 431 2 0 533 1 0 05/10/22 22:57:31
16 245220 4042172 1088 0 0 1992552 108280 6% 4.56 1.53 15.74 0.30 77.86 1599 5 0 1409 5 0 05/10/22 22:57:32
17 245992 4041400 1088 0 0 1992552 108280 6% 4.56 1.53 15.73 0.30 77.87 2007 7 0 2129 6 0 05/10/22 22:57:33
18 245236 4042156 1088 0 0 1992552 108280 6% 4.56 1.53 15.73 0.30 77.87 1599 5 0 1409 5 0 05/10/22 22:57:34
19 245928 4041464 1088 0 0 1992552 108280 6% 4.56 1.53 15.72 0.30 77.88 431 2 0 533 1 0 05/10/22 22:57:35
20 245292 4042100 1088 0 0 1992552 108280 6% 4.56 1.53 15.73 0.30 77.87 1665 6 0 2090 6 0 05/10/22 22:57:36
21 246056 4041336 1088 0 0 1992552 108280 6% 4.56 1.53 15.73 0.30 77.88 4934 16 0 5650 16 0 05/10/22 22:57:37
22 244968 4042424 1088 0 0 1992552 108280 6% 4.56 1.53 15.73 0.30 77.88 1161 3 0 876 4 0 05/10/22 22:57:38
23 246024 4041368 1088 0 0 1992552 108280 6% 4.56 1.53 15.72 0.30 77.88 869 4 0 1066 2 0 05/10/22 22:57:39
24 245268 4042124 1088 0 0 1992552 108280 6% 4.56 1.53 15.72 0.30 77.89 1161 3 0 876 4 0 05/10/22 22:57:41
25 246152 4041240 1088 0 0 1992552 108280 6% 4.56 1.53 15.73 0.30 77.88 869 4 0 1066 2 0 05/10/22 22:57:42
26 244968 4042424 1088 0 0 1992552 108280 6% 4.56 1.53 15.73 0.30 77.88 2127 8 0 2129 6 0 05/10/22 22:57:43
27 245992 4041400 1088 0 0 1992552 108280 6% 4.55 1.53 15.72 0.30 77.89 1479 4 0 1409 5 0 05/10/22 22:57:44
28 244928 4042464 1088 0 0 1992552 108280 6% 4.55 1.53 15.72 0.30 77.89 551 3 0 533 1 0 05/10/22 22:57:45
29 246024 4041368 1088 0 0 1992552 108280 6% 4.55 1.53 15.72 0.30 77.89 1545 5 0 2090 6 0 05/10/22 22:57:46
30 245992 4041400 1088 0 0 1992552 108280 6% 4.55 1.53 15.71 0.30 77.90 2821 11 0 3078 9 0 05/10/22 22:57:47
31 245252 4042140 1088 0 0 1992552 108280 6% 4.55 1.53 15.73 0.30 77.88 2527 7 0 2438 8 0 05/10/22 22:57:48
32 246000 4041392 1088 0 0 1992552 108280 6% 4.55 1.53 15.75 0.30 77.86 1464 7 0 1690 5 0 05/10/22 22:57:49
33 245252 4042140 1088 0 0 1992552 108280 6% 4.55 1.53 15.75 0.30 77.86 6225 18 0 6304 20 0 05/10/22 22:57:50
34 246764 4040604 1088 0 0 1992552 108280 6% 4.55 1.53 15.75 0.30 77.86 1238 5 0 1146 3 0 05/10/22 22:57:51
35 245692 4041676 1088 0 0 1992552 108280 6% 4.55 1.53 15.74 0.30 77.87 10245710 6952 0 10407220 7070 0 05/10/22 22:57:52
36 296168 3990948 1088 0 0 1992552 108280 6% 4.55 1.53 15.74 0.30 77.87 4587822 3420 0 4555590 3385 0 05/10/22 22:57:53
37 300876 3986120 1088 0 0 1992552 108280 6% 4.56 1.54 15.76 0.30 77.85 4580107 3408 0 4606570 3419 0 05/10/22 22:57:55
38 319404 3967448 1088 0 0 1992552 108280 6% 4.56 1.54 15.77 0.30 77.83 4436856 3301 0 4406230 3270 0 05/10/22 22:57:56
39 341880 3937136 1088 0 0 1992552 108280 6% 4.57 1.54 15.78 0.30 77.81 4477726 3340 0 4503380 3342 0 05/10/22 22:57:57
40 343900 3934908 1088 0 0 1992552 108280 6% 4.57 1.54 15.79 0.30 77.79 4082893 3077 0 4069665 3046 0 05/10/22 22:57:58
41 361548 3907936 1088 0 0 1992552 108280 6% 4.58 1.54 15.80 0.30 77.77 4148287 3064 0 4172626 3079 0 05/10/22 22:57:59
42 367728 3901644 1088 0 0 1992552 108280 6% 4.58 1.54 15.81 0.30 77.75 4376530 3296 0 4406664 3300 0 05/10/22 22:58:00
43 384704 3875248 1088 0 0 1992552 108280 6% 4.59 1.55 15.82 0.30 77.73 4767739 3562 0 4801978 3569 0 05/10/22 22:58:01
44 390912 3868940 1088 0 0 1992552 108280 6% 4.60 1.55 15.84 0.30 77.71 4712049 3516 0 4739049 3521 0 05/10/22 22:58:02
45 416872 3833952 1088 0 0 1992552 108280 6% 4.61 1.55 15.85 0.30 77.69 2466093 1853 0 2370455 1776 0 05/10/22 22:58:03
46 424100 3826596 1088 0 0 1992552 108280 6% 4.61 1.55 15.85 0.30 77.68 4516199 3336 0 4541810 3345 0 05/10/22 22:58:04
47 436132 3814444 1088 0 0 1992552 108280 6% 4.61 1.55 15.86 0.30 77.66 4425514 3317 0 4454900 3319 0 05/10/22 22:58:06
48 439196 3811232 1088 0 0 1992552 108280 6% 4.62 1.55 15.88 0.31 77.64 4045439 3041 0 4021975 3015 0 05/10/22 22:58:07
49 455812 3777680 1088 0 0 1992552 108280 6% 4.63 1.56 15.89 0.31 77.62 4337409 3114 0 4355911 3126 0 05/10/22 22:58:08
50 464980 3768384 1088 0 0 1992552 108280 6% 4.63 1.56 15.89 0.31 77.61 4134243 3129 0 4080458 3082 0 05/10/22 22:58:09
51 474540 3750032 1088 0 0 1992552 108280 6% 4.64 1.56 15.90 0.31 77.59 3623266 2725 0 3648763 2729 0 05/10/22 22:58:10
52 496312 3702212 1088 0 0 1992552 108280 6% 4.64 1.56 15.91 0.31 77.57 4521701 3283 0 4478888 3252 0 05/10/22 22:58:11
53 500380 3698032 1088 0 0 1992552 108280 6% 4.65 1.56 15.92 0.31 77.56 3984411 2969 0 3962892 2940 0 05/10/22 22:58:12
54 520936 3673660 1088 0 0 1992552 108280 6% 4.65 1.56 15.94 0.31 77.54 4103414 3077 0 4172008 3114 0 05/10/22 22:58:13
55 530420 3653624 1088 0 0 1992552 108280 6% 4.66 1.56 15.95 0.31 77.52 4393284 3214 0 3504370 2638 0 05/10/22 22:58:14
56 533500 3644016 1088 0 0 1992552 108280 6% 4.67 1.57 15.96 0.31 77.50 4264915 3188 0 4291780 3189 0 05/10/22 22:58:15
57 543140 3634220 1088 0 0 1992552 108280 6% 4.68 1.57 15.97 0.31 77.47 4009136 3045 0 3959599 2997 0 05/10/22 22:58:17
58 560380 3606232 1088 0 0 1992552 108280 6% 4.68 1.57 15.98 0.31 77.46 3778636 2852 0 3862987 2889 0 05/10/22 22:58:18
59 567136 3585244 1088 0 0 1992552 108280 6% 4.69 1.57 15.99 0.31 77.44 3560916 2686 0 3586230 2687 0 05/10/22 22:58:19
60 567116 3581684 1088 0 0 1992552 108280 6% 4.69 1.57 16.00 0.31 77.42 4095260 3083 0 4075775 3055 0 05/10/22 22:58:20
61 567640 3576944 1088 0 0 1992552 108280 6% 4.70 1.58 16.01 0.31 77.40 4137978 3128 0 4168087 3139 0 05/10/22 22:58:21
62 578296 3562044 1088 0 0 1992552 108280 6% 4.70 1.58 16.02 0.31 77.38 3673323 2788 0 3702414 2799 0 05/10/22 22:58:22
63 587244 3549616 1088 0 0 1992552 108280 6% 4.71 1.58 16.04 0.31 77.36 4750929 3331 0 4775824 3340 0 05/10/22 22:58:23
64 603648 3528608 1088 0 0 1992552 108280 6% 4.71 1.58 16.04 0.31 77.35 4455063 3339 0 4433841 3310 0 05/10/22 22:58:24
65 619720 3506848 1088 0 0 1992552 108280 6% 4.72 1.58 16.05 0.31 77.33 3881798 2827 0 3761494 2732 0 05/10/22 22:58:25
66 628356 3493800 1088 0 0 1992552 108280 6% 4.72 1.58 16.05 0.31 77.32 3693904 2826 0 3725735 2828 0 05/10/22 22:58:26
67 646620 3445888 1088 0 0 1992552 108280 6% 4.73 1.59 16.06 0.31 77.30 3931708 2963 0 3961527 2963 0 05/10/22 22:58:27
68 646416 3442336 1088 0 0 1992552 108280 6% 4.73 1.59 16.08 0.31 77.28 4195179 3138 0 4221881 3150 0 05/10/22 22:58:29
69 654880 3426932 1088 0 0 1992552 108280 6% 4.74 1.59 16.09 0.31 77.27 4466523 3352 0 4570826 3413 0 05/10/22 22:58:30
70 665744 3405204 1088 0 0 1992552 108280 6% 4.74 1.59 16.10 0.31 77.25 3853741 2936 0 3831133 2904 0 05/10/22 22:58:31
71 697144 3353692 1088 0 0 1992552 108280 6% 4.75 1.59 16.11 0.32 77.23 4091110 3066 0 4078338 3050 0 05/10/22 22:58:32
72 695120 3349676 1088 0 0 1992552 108280 6% 4.76 1.60 16.12 0.32 77.21 3888793 2955 0 3920075 2955 0 05/10/22 22:58:33
73 694104 3346880 1088 0 0 1992552 108280 6% 4.76 1.60 16.13 0.32 77.19 3661279 2754 0 3631130 2726 0 05/10/22 22:58:34
74 699872 3337596 1088 0 0 1992552 108280 6% 4.77 1.60 16.14 0.32 77.17 4196426 3157 0 4183170 3132 0 05/10/22 22:58:35
75 736628 3278588 1088 0 0 1992552 108280 6% 4.77 1.60 16.15 0.32 77.15 4248521 3202 0 4279497 3215 0 05/10/22 22:58:36
76 733512 3277304 1088 0 0 1992552 108280 6% 4.78 1.60 16.16 0.32 77.13 3981869 3036 0 4014441 3033 0 05/10/22 22:58:37
77 734200 3272452 1088 0 0 1992552 108280 6% 4.79 1.60 16.18 0.32 77.11 3642146 2715 0 3643725 2716 0 05/10/22 22:58:38
78 741420 3261444 1088 0 0 1992552 108280 6% 4.79 1.60 16.18 0.32 77.10 4110569 3115 0 4083355 3077 0 05/10/22 22:58:40
79 753724 3244456 1088 0 0 1992552 108280 6% 4.80 1.61 16.19 0.32 77.08 3594414 2759 0 3621838 2760 0 05/10/22 22:58:41
80 782012 3195008 1088 0 0 1992552 108280 6% 4.81 1.61 16.20 0.32 77.06 3814099 2868 0 3784805 2858 0 05/10/22 22:58:42
81 781052 3192024 1088 0 0 1992552 108280 6% 4.81 1.61 16.22 0.32 77.04 4052183 3082 0 4098826 3094 0 05/10/22 22:58:43
82 782164 3186692 1088 0 0 1992552 108280 6% 4.82 1.61 16.23 0.32 77.02 3722999 2814 0 3749837 2820 0 05/10/22 22:58:44
83 809380 3140128 1088 0 0 1992552 108280 6% 4.82 1.61 16.24 0.32 77.00 4419973 3092 0 4402860 3079 0 05/10/22 22:58:45
84 819920 3125276 1088 0 0 1992552 108280 6% 4.83 1.61 16.24 0.32 77.00 4149849 3125 0 4178501 3137 0 05/10/22 22:58:46
85 819144 3121700 1088 0 0 1992552 108280 6% 4.83 1.62 16.25 0.32 76.98 4105278 3075 0 4082724 3045 0 05/10/22 22:58:47
86 829856 3098524 1088 0 0 1992552 108280 6% 4.84 1.62 16.26 0.32 76.96 4267583 3204 0 4213780 3164 0 05/10/22 22:58:48
87 832660 3091396 1088 0 0 1992552 108280 6% 4.84 1.62 16.27 0.32 76.94 3388227 2408 0 3399185 2414 0 05/10/22 22:58:49
88 854232 3066224 1088 0 0 1992552 108280 6% 4.85 1.62 16.28 0.32 76.93 4581767 3305 0 4597556 3307 0 05/10/22 22:58:50
89 854772 3060720 1088 0 0 1992552 108280 6% 4.85 1.62 16.28 0.32 76.92 4319578 3254 0 4434368 3304 0 05/10/22 22:58:52
90 881304 3002444 1088 0 0 1992552 108280 6% 4.86 1.62 16.29 0.32 76.90 4436285 3342 0 4395933 3297 0 05/10/22 22:58:53
91 876776 3002580 1088 0 0 1992552 108280 6% 4.87 1.62 16.30 0.32 76.88 3975751 2897 0 3993442 2913 0 05/10/22 22:58:54
92 886564 2988712 1088 0 0 1992552 108280 6% 4.87 1.63 16.31 0.32 76.87 3342180 2553 0 3369887 2553 0 05/10/22 22:58:55
93 899708 2972156 1088 0 0 1992552 108280 6% 4.87 1.63 16.32 0.32 76.85 4995991 3534 0 5008517 3525 0 05/10/22 22:58:56
94 909936 2956580 1088 0 0 1992552 108280 6% 4.88 1.63 16.32 0.32 76.85 3695936 2819 0 3725663 2817 0 05/10/22 22:58:57
95 948964 2887256 1088 0 0 1992552 108280 6% 4.88 1.63 16.33 0.32 76.83 4889877 3572 0 4912881 3603 0 05/10/22 22:58:58
96 950800 2880508 1088 0 0 1992552 108280 6% 4.89 1.63 16.34 0.32 76.81 3117654 2334 0 3067123 2302 0 05/10/22 22:58:59
97 949796 2878208 1088 0 0 1992552 108280 6% 4.89 1.63 16.35 0.32 76.79 4314162 3207 0 4255813 3191 0 05/10/22 22:59:00
98 949208 2874444 1088 0 0 1992552 108280 6% 4.90 1.64 16.36 0.33 76.77 4210358 3150 0 4236185 3146 0 05/10/22 22:59:01
99 958088 2861024 1088 0 0 1992552 108280 6% 4.90 1.64 16.38 0.33 76.75 3696920 2680 0 3699690 2691 0 05/10/22 22:59:03
100 974084 2841204 1088 0 0 1992552 108280 6% 4.91 1.64 16.38 0.33 76.74 3522965 2654 0 3548237 2667 0 05/10/22 22:59:04
101 997628 2813900 1088 0 0 1992552 108280 6% 4.91 1.64 16.39 0.33 76.72 4150035 3086 0 4054039 3027 0 05/10/22 22:59:05
102 995248 2812192 1088 0 0 1992552 108280 6% 4.92 1.64 16.40 0.33 76.70 3792863 2846 0 3818368 2853 0 05/10/22 22:59:06
103 997656 2805828 1088 0 0 1992552 108280 6% 4.92 1.64 16.42 0.33 76.69 4147891 3105 0 4119799 3057 0 05/10/22 22:59:07
104 1015280 2783872 1088 0 0 1992552 108280 6% 4.93 1.64 16.43 0.33 76.67 4006773 3053 0 4037903 3064 0 05/10/22 22:59:08
105 1017852 2777272 1088 0 0 1992552 108280 6% 4.94 1.65 16.44 0.33 76.65 4175611 3151 0 4200959 3167 0 05/10/22 22:59:09
106 1043300 2705152 1088 0 0 1992552 108280 6% 4.95 1.65 16.45 0.33 76.63 3641486 2702 0 3511753 2614 0 05/10/22 22:59:10
107 1043456 2701372 1088 0 0 1992552 108280 6% 4.95 1.65 16.46 0.33 76.61 2788884 2147 0 2811563 2152 0 05/10/22 22:59:11
108 1041432 2700508 1088 0 0 1992552 108280 6% 4.95 1.65 16.46 0.33 76.60 4706169 3347 0 5223056 3679 0 05/10/22 22:59:12
109 1054656 2682108 1088 0 0 1992552 108280 6% 4.96 1.65 16.47 0.33 76.59 4160744 3122 0 4098886 3078 0 05/10/22 22:59:13
110 1068600 2655272 1088 0 0 1992552 108280 6% 4.96 1.65 16.48 0.33 76.57 4134914 3096 0 4161112 3117 0 05/10/22 22:59:15
111 1074284 2645396 1088 0 0 1992552 108280 6% 4.97 1.65 16.49 0.33 76.55 2410420 1830 0 2426353 1836 0 05/10/22 22:59:16
112 1087556 2600820 1088 0 0 1992552 108280 6% 4.98 1.66 16.50 0.33 76.54 5189064 3705 0 5334734 3790 0 05/10/22 22:59:17
113 1091596 2590632 1088 0 0 1992552 108280 6% 4.98 1.66 16.51 0.33 76.52 4310285 3234 0 4336664 3246 0 05/10/22 22:59:18
114 1088068 2904196 1088 0 0 1992552 108280 6% 4.99 1.66 16.52 0.33 76.50 4189169 3148 0 4214571 3156 0 05/10/22 22:59:19
115 1098904 2885856 1088 0 0 1992552 108280 6% 4.99 1.66 16.53 0.33 76.48 3199495 2390 0 3214201 2385 0 05/10/22 22:59:20
116 1097360 2884456 1088 0 0 1992552 108280 6% 4.99 1.66 16.54 0.33 76.47 4751047 3225 0 2824174 1963 0 05/10/22 22:59:21
117 1105208 2870752 1088 0 0 1992552 108280 6% 4.99 1.67 16.54 0.33 76.47 4077330 3074 0 4067108 3043 0 05/10/22 22:59:22
118 1113656 2856284 1088 0 0 1992552 108280 6% 5.00 1.67 16.55 0.33 76.45 3670327 2695 0 3687501 2708 0 05/10/22 22:59:23
119 1116368 2849984 1088 0 0 1992552 108280 6% 5.01 1.67 16.55 0.33 76.44 4234542 3184 0 4262896 3172 0 05/10/22 22:59:24
120 1117964 2844188 1088 0 0 1992552 108280 6% 5.01 1.67 16.57 0.33 76.42 3432383 2523 0 3449760 2529 0 05/10/22 22:59:25
121 1133896 2814128 1088 0 0 1992552 108280 6% 5.02 1.67 16.57 0.33 76.41 4873083 3514 0 4891946 3523 0 05/10/22 22:59:26
122 1147496 2779008 1088 0 0 1992552 108280 6% 5.02 1.67 16.58 0.33 76.40 4260989 3204 0 4251458 3172 0 05/10/22 22:59:28
123 1148028 2774144 1088 0 0 1992552 108280 6% 5.03 1.67 16.59 0.33 76.38 4138234 3114 0 4169956 3118 0 05/10/22 22:59:29
124 1166696 2729836 1088 0 0 1992552 108280 6% 5.03 1.68 16.60 0.33 76.36 4009663 3054 0 4041839 3053 0 05/10/22 22:59:30
125 1170144 2722316 1088 0 0 1992552 108280 6% 5.04 1.68 16.61 0.33 76.34 3697815 2654 0 3666352 2639 0 05/10/22 22:59:31
126 1181216 2707408 1088 0 0 1992552 108280 6% 5.04 1.68 16.61 0.33 76.33 3545675 2662 0 3566267 2669 0 05/10/22 22:59:32
127 1211848 2673144 1088 0 0 1992552 108280 6% 5.05 1.68 16.62 0.33 76.31 4139460 3071 0 4165084 3102 0 05/10/22 22:59:33
128 1208996 2671828 1088 0 0 1992552 108280 6% 5.05 1.68 16.63 0.33 76.30 4097899 3099 0 4084800 3072 0 05/10/22 22:59:34
129 1210444 2666264 1088 0 0 1992552 108280 6% 5.06 1.68 16.64 0.33 76.28 4084407 2889 0 4097322 2898 0 05/10/22 22:59:35
130 1222144 2650268 1088 0 0 1992552 108280 6% 5.06 1.68 16.65 0.33 76.27 3446649 2588 0 3465797 2583 0 05/10/22 22:59:36
131 1229884 2638620 1088 0 0 1992552 108280 6% 5.07 1.68 16.66 0.34 76.25 4204233 3129 0 4230006 3134 0 05/10/22 22:59:37
132 1238500 2625548 1088 0 0 1992552 108280 6% 5.07 1.69 16.67 0.34 76.23 4189282 3126 0 4213241 3131 0 05/10/22 22:59:39
133 1265832 2558820 1088 0 0 1992552 108280 6% 5.08 1.69 16.68 0.34 76.21 3939850 2909 0 3958747 2900 0 05/10/22 22:59:40
134 1264264 2556576 1088 0 0 1992552 108280 6% 5.09 1.69 16.69 0.34 76.20 4655216 3222 0 4700981 3243 0 05/10/22 22:59:41
135 1274912 2541416 1088 0 0 1992552 108280 6% 5.09 1.69 16.69 0.34 76.19 4100451 3004 0 4119226 3010 0 05/10/22 22:59:42
136 1279208 2533116 1088 0 0 1992552 108280 6% 5.09 1.69 16.70 0.34 76.18 4195973 3061 0 4214541 3056 0 05/10/22 22:59:43
137 1290012 2518144 1088 0 0 1992552 108280 6% 5.10 1.69 16.71 0.34 76.16 4706254 3556 0 4737465 3543 0 05/10/22 22:59:44
138 1308000 2494828 1088 0 0 1992552 108280 6% 5.10 1.69 16.72 0.34 76.14 3919723 2770 0 3833880 2718 0 05/10/22 22:59:45
139 1318736 2480040 1088 0 0 1992552 108280 6% 5.11 1.70 16.72 0.34 76.14 3884710 2947 0 4047884 3030 0 05/10/22 22:59:46
140 1334824 2433592 1088 0 0 1992552 108280 6% 5.11 1.70 16.73 0.34 76.12 4395370 3314 0 4371258 3283 0 05/10/22 22:59:47
141 1333772 2430220 1088 0 0 1992552 108280 6% 5.12 1.70 16.74 0.34 76.10 4171500 3157 0 4200549 3157 0 05/10/22 22:59:48
142 1342748 2416936 1088 0 0 1992552 108280 6% 5.13 1.70 16.75 0.34 76.08 4100188 3104 0 4092950 3093 0 05/10/22 22:59:50
143 1365180 2389900 1088 0 0 1992552 108280 6% 5.13 1.70 16.76 0.34 76.06 2194208 1547 0 1994650 1429 0 05/10/22 22:59:51
144 1370664 2381256 1088 0 0 1992552 108280 6% 5.14 1.70 16.76 0.34 76.06 3758201 2798 0 3722618 2775 0 05/10/22 22:59:52
145 1386504 2361016 1088 0 0 1992552 108280 6% 5.14 1.70 16.76 0.34 76.04 4140017 3120 0 4174494 3125 0 05/10/22 22:59:53
146 1386332 2356920 1088 0 0 1992552 108280 6% 5.15 1.71 16.77 0.34 76.03 3956086 2776 0 3964995 2778 0 05/10/22 22:59:54
147 1396436 2342888 1088 0 0 1992552 108280 6% 5.15 1.71 16.78 0.34 76.02 4240114 3083 0 4292345 3120 0 05/10/22 22:59:55
148 1407948 2327072 1088 0 0 1992552 108280 6% 5.16 1.71 16.78 0.34 76.01 4297748 3250 0 4333292 3259 0 05/10/22 22:59:56
149 1432696 2264632 1088 0 0 1992552 108280 6% 5.16 1.71 16.79 0.34 75.99 4235773 3203 0 4229741 3182 0 05/10/22 22:59:57
150 1431888 2261260 1088 0 0 1992552 108280 6% 5.17 1.71 16.80 0.34 75.97 3852603 2912 0 3883218 2929 0 05/10/22 22:59:58
151 1431740 2257448 1088 0 0 1992552 108280 6% 5.17 1.71 16.81 0.34 75.95 3602865 2571 0 3569066 2556 0 05/10/22 22:59:59
152 1460532 2224608 1088 0 0 1992552 108280 6% 5.18 1.71 16.81 0.34 75.95 4571931 3337 0 4594369 3336 0 05/10/22 23:00:01
153 1464716 2215852 1088 0 0 1992552 108280 6% 5.18 1.72 16.82 0.34 75.93 3806906 2732 0 3771635 2724 0 05/10/22 23:00:02
154 1466724 2210048 1088 0 0 1992552 108280 6% 5.19 1.72 16.82 0.34 75.92 4102529 3065 0 4050869 3014 0 05/10/22 23:00:03
155 1478352 2193684 1088 0 0 1992552 108280 6% 5.19 1.72 16.83 0.34 75.91 4304161 3263 0 4335699 3265 0 05/10/22 23:00:04
156 1504280 2125736 1088 0 0 1992552 108280 6% 5.20 1.72 16.84 0.35 75.89 3669504 2702 0 3855218 2838 0 05/10/22 23:00:05
157 1512444 2108332 1088 0 0 1992552 108280 6% 5.20 1.72 16.85 0.35 75.87 3884401 2890 0 3949861 2923 0 05/10/22 23:00:06
158 1511312 2105608 1088 0 0 1992552 108280 6% 5.21 1.72 16.86 0.35 75.86 3806906 2856 0 3790813 2841 0 05/10/22 23:00:07
159 1511880 2101072 1088 0 0 1992552 108280 6% 5.21 1.72 16.87 0.35 75.84 3565234 2637 0 3364249 2526 0 05/10/22 23:00:08
160 1521432 2084196 1088 0 0 1992552 108280 6% 5.22 1.73 16.88 0.35 75.82 3951774 2930 0 3969835 2940 0 05/10/22 23:00:09
161 1540688 2039572 1088 0 0 1992552 108280 6% 5.23 1.73 16.89 0.35 75.80 4086667 3052 0 4115511 3074 0 05/10/22 23:00:10
162 1540944 2035188 1088 0 0 1992552 108280 6% 5.23 1.73 16.90 0.35 75.79 4487912 3375 0 4520304 3394 0 05/10/22 23:00:11
163 1565144 2006444 1088 0 0 1992552 108280 6% 5.24 1.73 16.91 0.35 75.77 3932244 2850 0 3946226 2866 0 05/10/22 23:00:13
164 1571852 1995852 1088 0 0 1992552 108280 6% 5.24 1.73 16.92 0.35 75.76 3707124 2736 0 3729503 2761 0 05/10/22 23:00:14
165 1571648 1992380 1088 0 0 1992552 108280 6% 5.25 1.74 16.93 0.35 75.74 4166366 3134 0 4088626 3075 0 05/10/22 23:00:15
166 1580852 1978896 1088 0 0 1992552 108280 6% 5.25 1.74 16.94 0.35 75.72 3159861 2294 0 3343876 2406 0 05/10/22 23:00:16
167 1601288 1937416 1088 0 0 1992552 108280 6% 5.26 1.74 16.94 0.35 75.71 4664622 3310 0 4676165 3315 0 05/10/22 23:00:17
168 1604444 1929692 1088 0 0 1992552 108280 6% 5.26 1.74 16.94 0.35 75.71 3932467 2927 0 4030814 2997 0 05/10/22 23:00:18
169 1637236 1872496 1088 0 0 1992552 108280 6% 5.27 1.74 16.95 0.35 75.69 3837765 2890 0 4002358 2987 0 05/10/22 23:00:19
170 1635976 2078460 1088 0 0 1992552 108280 6% 5.27 1.74 16.96 0.35 75.67 4172350 3065 0 4197806 3099 0 05/10/22 23:00:20
171 1637428 2073068 1088 0 0 1992552 108280 6% 5.28 1.74 16.97 0.35 75.66 3630040 2659 0 3614847 2633 0 05/10/22 23:00:21
172 1644456 2062592 1088 0 0 1992552 108280 6% 5.28 1.75 16.97 0.35 75.65 3844526 2876 0 3866158 2883 0 05/10/22 23:00:22
173 1648640 2054520 1088 0 0 1992552 108280 6% 5.29 1.75 16.98 0.35 75.63 3349451 2581 0 3415554 2612 0 05/10/22 23:00:24
174 1675728 2001276 1088 0 0 1992552 108280 6% 5.29 1.75 16.99 0.35 75.61 4068222 2974 0 4088325 2998 0 05/10/22 23:00:25
175 1678724 1994040 1088 0 0 1992552 108280 6% 5.30 1.75 17.00 0.35 75.59 4188706 3172 0 4273861 3224 0 05/10/22 23:00:26
176 1703064 1965532 1088 0 0 1992552 108280 6% 5.31 1.75 17.01 0.35 75.58 3994438 2837 0 4073592 2914 0 05/10/22 23:00:27
177 1711648 1952880 1088 0 0 1992552 108280 6% 5.31 1.75 17.01 0.35 75.57 3915773 2776 0 3878135 2749 0 05/10/22 23:00:28
178 1710196 1950256 1088 0 0 1992552 108280 6% 5.31 1.76 17.01 0.35 75.56 3408840 2487 0 3423105 2492 0 05/10/22 23:00:29
179 1713500 1943616 1088 0 0 1992552 108280 6% 5.32 1.76 17.02 0.35 75.55 4508306 3213 0 4466298 3176 0 05/10/22 23:00:30
180 1736908 1889680 1088 0 0 1992552 108280 6% 5.32 1.76 17.02 0.35 75.54 4476758 3346 0 4457411 3322 0 05/10/22 23:00:31
181 1737984 1884080 1088 0 0 1992552 108280 6% 5.33 1.76 17.03 0.35 75.52 4340934 3266 0 4319054 3225 0 05/10/22 23:00:32
