Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 2404872 1928340 1084 0 0 1992552 108280 6% 7.07 2.47 16.59 0.47 73.39 1041 4 0 1505 4 0 29/09/22 23:44:57
2 2404900 1928308 1084 0 0 1992552 108280 6% 7.07 2.47 16.59 0.47 73.40 1658 6 0 2086 6 0 29/09/22 23:44:58
3 2405964 1927244 1084 0 0 1992552 108280 6% 7.07 2.47 16.58 0.47 73.40 438 2 0 533 1 0 29/09/22 23:44:59
4 2405416 1927788 1084 0 0 1992552 108280 6% 7.07 2.47 16.58 0.47 73.41 2193 9 0 1999 10 0 29/09/22 23:45:00
5 2406260 1926944 1084 0 0 1992552 108280 6% 7.06 2.47 16.57 0.47 73.42 4433 13 0 4574 14 0 29/09/22 23:45:01
6 2405204 1928000 1084 0 0 1992552 108280 6% 7.06 2.47 16.58 0.47 73.41 1658 6 0 1955 6 0 29/09/22 23:45:02
7 2406260 1926944 1084 0 0 1992552 108280 6% 7.06 2.47 16.58 0.47 73.41 2913 7 0 1264 5 0 29/09/22 23:45:03
8 2405204 1928000 1084 0 0 1992552 108280 6% 7.06 2.47 16.58 0.47 73.42 1161 3 0 876 4 0 29/09/22 23:45:04
9 2406260 1926944 1084 0 0 1992552 108280 6% 7.06 2.47 16.57 0.47 73.43 1062 6 0 1270 3 0 29/09/22 23:45:06
10 2405488 1927716 1084 0 0 1992552 108280 6% 7.06 2.47 16.57 0.47 73.43 2676 7 0 1943 8 0 29/09/22 23:45:07
11 2406228 1926976 1084 0 0 1992552 108280 6% 7.06 2.47 16.56 0.47 73.44 935 5 0 1600 3 0 29/09/22 23:45:08
12 2405172 1928032 1084 0 0 1992552 108280 6% 7.05 2.47 16.58 0.47 73.42 1161 3 0 876 4 0 29/09/22 23:45:09
13 2406228 1926976 1084 0 0 1992552 108280 6% 7.05 2.47 16.58 0.47 73.42 869 4 0 1066 2 0 29/09/22 23:45:10
14 2405180 1928024 1084 0 0 1992552 108280 6% 7.05 2.47 16.58 0.47 73.43 3216 11 0 3357 14 0 29/09/22 23:45:11
15 2406228 1926976 1084 0 0 1992552 108280 6% 7.05 2.47 16.58 0.47 73.43 2987 11 0 3711 10 0 29/09/22 23:45:12
16 2405140 1928064 1084 0 0 1992552 108280 6% 7.05 2.47 16.59 0.47 73.42 3019 6 0 1169 6 0 29/09/22 23:45:13
17 2406164 1927040 1084 0 0 1992552 108280 6% 7.05 2.47 16.61 0.47 73.40 1662 6 0 2084 6 0 29/09/22 23:45:14
18 2405424 1927780 1084 0 0 1992552 108280 6% 7.05 2.47 16.61 0.47 73.40 631 4 0 737 2 0 29/09/22 23:45:15
19 2406164 1927040 1084 0 0 1992552 108280 6% 7.04 2.47 16.61 0.47 73.41 2102 6 0 1475 6 0 29/09/22 23:45:16
20 2405356 1927844 1084 0 0 1992552 108280 6% 7.04 2.47 16.62 0.47 73.40 1910 7 0 2678 7 0 29/09/22 23:45:17
21 2406256 1926944 1084 0 0 1992552 108280 6% 7.04 2.47 16.62 0.47 73.40 1662 6 0 2085 6 0 29/09/22 23:45:18
22 2405460 1927740 1084 0 0 1992552 108280 6% 7.04 2.47 16.61 0.47 73.41 869 4 0 1066 2 0 29/09/22 23:45:19
