Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 2346176 1979796 1088 0 0 1992552 108280 6% 3.99 2.60 11.97 0.23 81.21 1611 6 0 2780 7 0 29/09/22 23:25:23
2 2346600 1979368 1088 0 0 1992552 108280 6% 3.99 2.60 11.96 0.23 81.22 1091 4 0 602 2 0 29/09/22 23:25:24
3 2346472 1979496 1088 0 0 1992552 108280 6% 3.99 2.60 11.96 0.23 81.22 1587 5 0 1412 5 0 29/09/22 23:25:25
4 2347772 1978196 1088 0 0 1992552 108280 6% 3.99 2.60 11.95 0.23 81.23 630 4 0 740 2 0 29/09/22 23:25:26
5 2346740 1979228 1088 0 0 1992552 108280 6% 3.99 2.60 11.95 0.23 81.24 3415 9 0 2828 10 0 29/09/22 23:25:27
6 2347472 1978496 1088 0 0 1992552 108280 6% 3.98 2.60 11.96 0.23 81.23 2007 5 0 1478 6 0 29/09/22 23:25:28
7 2347016 1978952 1088 0 0 1992552 108280 6% 3.98 2.60 11.95 0.23 81.23 551 3 0 536 1 0 29/09/22 23:25:29
8 2348176 1977792 1088 0 0 1992552 108280 6% 3.98 2.60 11.95 0.23 81.24 1229 4 0 1080 5 0 29/09/22 23:25:30
9 2346772 1979196 1088 0 0 1992552 108280 6% 3.98 2.60 11.94 0.23 81.25 2003 7 0 1769 5 0 29/09/22 23:25:31
10 2346732 1979236 1088 0 0 1992552 108280 6% 3.98 2.60 11.96 0.23 81.23 1181 4 0 2246 6 0 29/09/22 23:25:32
11 2347892 1978076 1088 0 0 1992552 108280 6% 3.98 2.59 11.98 0.23 81.22 1523 6 0 1140 3 0 29/09/22 23:25:33
12 2347096 1978872 1088 0 0 1992552 108280 6% 3.98 2.59 11.97 0.23 81.22 1037 2 0 876 4 0 29/09/22 23:25:34
13 2347512 1978456 1088 0 0 1992552 108280 6% 3.98 2.59 11.97 0.23 81.23 1159 7 0 1127 6 0 29/09/22 23:25:36
14 2347080 1978888 1088 0 0 1992552 108280 6% 3.97 2.59 11.96 0.23 81.23 1859 5 0 2023 7 0 29/09/22 23:25:37
15 2347776 1978172 1088 0 0 1992552 108280 6% 3.97 2.59 11.96 0.23 81.24 1995 6 0 1344 4 0 29/09/22 23:25:38
