ID CpuUsr CpuSys CpuGst CpuWait CpuPerc MinFlt MajFlt %MEM Threads Swap RSS Size Data Hora
1 1.00 1.00 0.00 0.00 2.00 0.00 0.00 36.19 74 0 2202260 3896392 29/09/22 23:25:25
2 1.00 0.00 0.00 0.00 1.00 0.00 0.00 36.19 74 0 2202260 3896392 29/09/22 23:25:27
3 0.00 0.00 0.00 0.00 0.00 0.00 0.00 36.19 74 0 2202260 3896392 29/09/22 23:25:29
4 1.00 1.00 0.00 0.00 2.00 0.00 0.00 36.19 74 0 2202260 3896392 29/09/22 23:25:31
5 0.00 1.00 0.00 0.00 1.00 0.00 0.00 36.19 74 0 2202260 3896392 29/09/22 23:25:33
6 0.00 0.00 0.00 0.00 0.00 0.00 0.00 36.19 74 0 2202260 3896392 29/09/22 23:25:35
7 0.00 1.00 0.00 0.00 1.00 0.00 0.00 36.19 73 0 2202272 3896392 29/09/22 23:25:37
8 0.00 0.00 0.00 0.00 0.00 0.00 0.00 36.19 73 0 2202272 3896392 29/09/22 23:25:39
9 1.00 0.00 0.00 0.00 1.00 0.00 0.00 36.19 73 0 2202272 3896392 29/09/22 23:25:41
10 3.00 3.00 0.00 0.00 6.00 105.00 0.00 36.20 83 0 2202532 3945568 29/09/22 23:25:43
11 17.82 9.90 0.00 0.00 27.72 11.88 0.00 36.19 84 0 2202176 3953764 29/09/22 23:25:46
12 28.00 11.00 0.00 0.00 39.00 1.00 0.00 36.18 83 0 2201416 3953764 29/09/22 23:25:48
13 26.00 12.00 0.00 0.00 38.00 4.00 0.00 36.17 83 0 2200836 3953764 29/09/22 23:25:50
14 30.00 10.00 0.00 0.00 40.00 4.00 0.00 36.16 83 0 2200092 3953764 29/09/22 23:25:52
15 26.00 9.00 0.00 0.00 35.00 0.00 0.00 36.15 83 0 2199580 3953764 29/09/22 23:25:54
16 18.00 14.00 0.00 0.00 32.00 0.00 0.00 36.14 83 0 2198936 3953764 29/09/22 23:25:56
17 29.00 12.00 0.00 0.00 41.00 0.00 0.00 36.12 83 0 2198016 3953764 29/09/22 23:25:58
18 35.00 10.00 0.00 0.00 45.00 0.00 0.00 36.11 83 0 2197284 3953764 29/09/22 23:26:00
19 26.00 7.00 0.00 0.00 33.00 1.00 0.00 36.10 83 0 2196776 3953764 29/09/22 23:26:02
20 27.00 9.00 0.00 0.00 36.00 0.00 0.00 36.09 83 0 2195712 3953764 29/09/22 23:26:04
21 17.00 14.00 0.00 0.00 31.00 0.00 0.00 36.08 83 0 2195440 3953764 29/09/22 23:26:06
22 26.00 10.00 0.00 0.00 36.00 0.00 0.00 36.07 83 0 2194876 3953764 29/09/22 23:26:08
23 30.00 18.00 0.00 0.00 48.00 37.00 0.00 36.06 83 0 2194264 3953764 29/09/22 23:26:10
24 18.00 7.00 0.00 0.00 25.00 3.00 0.00 36.05 83 0 2193668 3953764 29/09/22 23:26:12
25 17.00 10.00 0.00 0.00 27.00 5.00 0.00 36.04 83 0 2193048 3953764 29/09/22 23:26:14
26 33.00 14.00 0.00 0.00 47.00 21.00 0.00 36.04 83 0 2192632 3953764 29/09/22 23:26:16
27 12.00 7.00 0.00 0.00 19.00 96.00 0.00 36.03 83 0 2192240 3953764 29/09/22 23:26:18
28 8.00 4.00 0.00 0.00 12.00 0.00 0.00 36.02 83 0 2191908 3953764 29/09/22 23:26:20
29 25.00 8.00 0.00 0.00 33.00 8.00 0.00 36.01 83 0 2191232 3953764 29/09/22 23:26:22
30 24.00 8.00 0.00 0.00 32.00 2.00 0.00 36.01 84 0 2191064 3953764 29/09/22 23:26:24
31 12.00 7.00 0.00 0.00 19.00 11.00 0.00 36.00 84 0 2190356 3953764 29/09/22 23:26:26
32 29.00 9.00 0.00 0.00 38.00 2.00 0.00 36.00 84 0 2190160 3953764 29/09/22 23:26:28
33 28.00 6.00 0.00 0.00 34.00 126.00 0.00 36.00 84 0 2190392 3953764 29/09/22 23:26:30
34 31.00 8.00 0.00 0.00 39.00 4.00 0.00 35.99 84 0 2189896 3953764 29/09/22 23:26:32
35 14.00 7.00 0.00 0.00 21.00 0.00 0.00 35.99 84 0 2189760 3953764 29/09/22 23:26:34
36 26.73 15.84 0.00 0.00 42.57 283.17 0.00 36.00 84 0 2190176 3953764 29/09/22 23:26:36
37 23.00 12.00 0.00 0.00 35.00 0.00 0.00 35.98 84 0 2189380 3953764 29/09/22 23:26:38
38 34.00 11.00 0.00 0.00 45.00 110.00 0.00 35.98 84 0 2189500 3953764 29/09/22 23:26:41
39 10.00 4.00 0.00 0.00 14.00 15.00 0.00 36.00 84 0 2190576 3953764 29/09/22 23:26:43
40 34.00 13.00 0.00 0.00 47.00 438.00 0.00 36.02 84 0 2191472 3953764 29/09/22 23:26:45
41 18.81 3.96 0.00 0.00 22.77 15.84 0.00 36.00 84 0 2190628 3953764 29/09/22 23:26:47
42 23.00 11.00 0.00 0.00 34.00 0.00 0.00 36.03 84 0 2192308 3953764 29/09/22 23:26:49
43 14.00 7.00 0.00 0.00 21.00 0.00 0.00 36.02 84 0 2191440 3953764 29/09/22 23:26:51
44 25.00 13.00 0.00 0.00 38.00 876.00 0.00 36.09 84 0 2195900 3953764 29/09/22 23:26:53
45 33.00 16.00 0.00 0.00 49.00 1090.00 0.00 36.16 85 0 2199944 3961960 29/09/22 23:26:55
46 38.61 14.85 0.00 0.00 53.47 3.96 0.00 36.15 85 0 2199300 3961960 29/09/22 23:26:57
47 18.00 9.00 0.00 0.00 27.00 22.00 0.00 36.14 85 0 2198840 3961960 29/09/22 23:26:59
48 28.71 6.93 0.00 0.00 35.64 0.00 0.00 36.20 85 0 2202692 3961960 29/09/22 23:27:01
49 30.00 5.00 0.00 0.00 35.00 0.00 0.00 36.19 85 0 2202212 3961960 29/09/22 23:27:03
50 28.00 15.00 0.00 0.00 43.00 0.00 0.00 36.18 85 0 2201240 3961960 29/09/22 23:27:05
51 20.00 4.00 0.00 0.00 24.00 594.00 0.00 36.21 85 0 2203136 3961960 29/09/22 23:27:07
52 22.00 15.00 0.00 0.00 37.00 0.00 0.00 36.20 85 0 2202592 3961960 29/09/22 23:27:09
53 26.00 11.00 0.00 0.00 37.00 0.00 0.00 36.19 85 0 2201948 3961960 29/09/22 23:27:11
54 25.74 4.95 0.00 0.00 30.69 0.00 0.00 36.19 85 0 2202208 3961960 29/09/22 23:27:13
55 24.00 4.00 0.00 0.00 28.00 0.00 0.00 36.19 85 0 2202292 3961960 29/09/22 23:27:15
56 27.00 8.00 0.00 0.00 35.00 10.00 0.00 36.21 85 0 2203084 3961960 29/09/22 23:27:17
