Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 2410172 1893696 1088 0 0 1992552 108280 6% 4.64 2.61 14.94 0.26 77.55 1157 3 0 872 4 0 30/09/22 00:20:09
2 2410152 1893712 1088 0 0 1992552 108280 6% 4.64 2.61 14.94 0.26 77.55 2496 9 0 2084 6 0 30/09/22 00:20:10
3 2410436 1893420 1088 0 0 1992552 108280 6% 4.64 2.61 14.94 0.26 77.55 2582 6 0 2191 9 0 30/09/22 00:20:11
4 2411792 1892048 1088 0 0 1992552 108280 6% 4.64 2.61 14.94 0.26 77.55 1403 5 0 1140 3 0 30/09/22 00:20:12
5 2410608 1893232 1088 0 0 1992552 108280 6% 4.64 2.61 14.93 0.26 77.56 1588 5 0 1413 5 0 30/09/22 00:20:13
6 2411372 1892468 1088 0 0 1992552 108280 6% 4.64 2.61 14.93 0.26 77.56 776 6 0 1887 3 0 30/09/22 00:20:14
7 2410576 1893264 1088 0 0 1992552 108280 6% 4.64 2.61 14.93 0.26 77.56 2069 8 0 2003 10 0 30/09/22 00:20:16
8 2411348 1892492 1088 0 0 1992552 108280 6% 4.64 2.61 14.93 0.26 77.56 1483 5 0 1213 4 0 30/09/22 00:20:17
9 2410544 1893296 1088 0 0 1992552 108280 6% 4.63 2.61 14.92 0.26 77.57 1468 4 0 1413 5 0 30/09/22 00:20:18
10 2411404 1892436 1088 0 0 1992552 108280 6% 4.63 2.61 14.92 0.26 77.57 558 3 0 537 1 0 30/09/22 00:20:19
11 2410860 1892980 1088 0 0 1992552 108280 6% 4.63 2.61 14.92 0.26 77.57 2905 7 0 2220 8 0 30/09/22 00:20:20
12 2411120 1892720 1088 0 0 1992552 108280 6% 4.63 2.61 14.92 0.26 77.58 2161 8 0 2056 7 0 30/09/22 00:20:21
13 2411380 1892460 1088 0 0 1992552 108280 6% 4.63 2.61 14.91 0.26 77.58 2015 5 0 1479 6 0 30/09/22 00:20:22
14 2410600 1893240 1088 0 0 1992552 108280 6% 4.63 2.61 14.91 0.26 77.58 120 1 0 0 0 0 30/09/22 00:20:23
