Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 247700 4035212 1088 0 0 1992552 108280 6% 5.57 1.81 17.69 0.37 74.56 869 4 0 1066 2 0 05/10/22 23:10:52
2 247924 4034984 1088 0 0 1992552 108280 6% 5.57 1.81 17.69 0.37 74.56 1161 3 0 876 4 0 05/10/22 23:10:53
3 247664 4035244 1088 0 0 1992552 108280 6% 5.57 1.81 17.69 0.37 74.57 989 5 0 1066 2 0 05/10/22 23:10:55
4 247728 4035180 1088 0 0 1992552 108280 6% 5.57 1.81 17.68 0.37 74.57 2617 7 0 2472 9 0 05/10/22 23:10:56
5 249028 4033880 1088 0 0 1992552 108280 6% 5.57 1.81 17.68 0.37 74.58 1736 7 0 1263 4 0 05/10/22 23:10:57
6 248220 4034684 1088 0 0 1992552 108280 6% 5.57 1.81 17.68 0.37 74.58 1041 2 0 876 4 0 05/10/22 23:10:58
7 249308 4033596 1088 0 0 1992552 108280 6% 5.57 1.81 17.69 0.37 74.57 989 5 0 1066 2 0 05/10/22 23:10:59
8 248592 4034312 1088 0 0 1992552 108280 6% 5.57 1.81 17.69 0.37 74.57 3117 8 0 3209 11 0 05/10/22 23:11:00
9 249244 4033660 1088 0 0 1992552 108280 6% 5.56 1.81 17.69 0.37 74.57 2957 11 0 3304 9 0 05/10/22 23:11:01
10 248276 4034628 1088 0 0 1992552 108280 6% 5.56 1.81 17.68 0.37 74.58 1109 3 0 872 4 0 05/10/22 23:11:02
11 249080 4033824 1088 0 0 1992552 108280 6% 5.56 1.81 17.68 0.37 74.58 2030 7 0 1938 6 0 05/10/22 23:11:03
12 248592 4034312 1088 0 0 1992552 108280 6% 5.56 1.81 17.69 0.37 74.57 429 2 0 533 1 0 05/10/22 23:11:04
13 248212 4034692 1088 0 0 1992552 108280 6% 5.56 1.81 17.69 0.37 74.58 1734 5 0 1469 6 0 05/10/22 23:11:05
14 249388 4033516 1088 0 0 1992552 108280 6% 5.56 1.81 17.68 0.37 74.58 1871 7 0 2064 5 0 05/10/22 23:11:06
15 248600 4034304 1088 0 0 1992552 108280 6% 5.56 1.81 17.68 0.37 74.59 1165 3 0 872 4 0 05/10/22 23:11:07
16 249244 4033660 1088 0 0 1992552 108280 6% 5.56 1.81 17.68 0.37 74.59 865 4 0 1066 2 0 05/10/22 23:11:08
17 248408 4034496 1088 0 0 1992552 108280 6% 5.56 1.81 17.68 0.36 74.58 1165 3 0 872 4 0 05/10/22 23:11:10
18 249212 4033692 1088 0 0 1992552 108280 6% 5.56 1.81 17.68 0.36 74.59 4925 16 0 5634 16 0 05/10/22 23:11:11
19 248204 4034700 1088 0 0 1992552 108280 6% 5.56 1.81 17.68 0.36 74.59 1161 3 0 876 4 0 05/10/22 23:11:12
20 249244 4033660 1088 0 0 1992552 108280 6% 5.55 1.81 17.67 0.36 74.60 989 5 0 1066 2 0 05/10/22 23:11:13
21 248132 4034772 1088 0 0 1992552 108280 6% 5.55 1.81 17.67 0.36 74.60 1041 2 0 876 4 0 05/10/22 23:11:14
22 248984 4033920 1088 0 0 1992552 108280 6% 5.55 1.81 17.67 0.36 74.61 989 5 0 1066 2 0 05/10/22 23:11:15
23 248116 4034788 1088 0 0 1992552 108280 6% 5.55 1.81 17.66 0.36 74.61 1045 2 0 873 4 0 05/10/22 23:11:16
24 249308 4033596 1088 0 0 1992552 108280 6% 5.55 1.81 17.66 0.36 74.61 993 5 0 1078 2 0 05/10/22 23:11:17
25 248512 4034392 1088 0 0 1992552 108280 6% 5.55 1.81 17.66 0.36 74.61 5338 14 0 5689 18 0 05/10/22 23:11:18
26 249164 4033724 1088 0 0 1992552 108280 6% 5.55 1.81 17.66 0.36 74.62 4958581 3417 0 5503489 3774 0 05/10/22 23:11:19
27 284704 3998068 1088 0 0 1992552 108280 6% 5.55 1.81 17.66 0.36 74.62 2959425 2218 0 2881835 2173 0 05/10/22 23:11:20
28 291188 3991492 1088 0 0 1992552 108280 6% 5.55 1.81 17.66 0.36 74.61 4276659 3193 0 4241639 3171 0 05/10/22 23:11:21
29 295820 3986728 1088 0 0 1992552 108280 6% 5.56 1.81 17.67 0.37 74.59 4605645 3425 0 4570380 3400 0 05/10/22 23:11:23
30 311136 3971284 1088 0 0 1992552 108280 6% 5.56 1.81 17.68 0.37 74.57 4641681 3444 0 4572637 3384 0 05/10/22 23:11:24
31 326368 3955928 1088 0 0 1992552 108280 6% 5.56 1.81 17.69 0.37 74.56 4226739 3179 0 4255340 3190 0 05/10/22 23:11:25
32 344080 3930404 1088 0 0 1992552 108280 6% 5.57 1.82 17.70 0.37 74.54 4173771 3139 0 4203749 3150 0 05/10/22 23:11:26
33 349676 3924680 1088 0 0 1992552 108280 6% 5.57 1.82 17.71 0.37 74.53 4419410 3330 0 4453226 3336 0 05/10/22 23:11:27
34 370320 3886400 1088 0 0 1992552 108280 6% 5.58 1.82 17.72 0.37 74.51 4483016 3359 0 4468735 3351 0 05/10/22 23:11:28
35 370236 3886376 1088 0 0 1992552 108280 6% 5.58 1.82 17.73 0.37 74.50 4073956 3047 0 4166015 3097 0 05/10/22 23:11:29
36 381536 3874964 1088 0 0 1992552 108280 6% 5.59 1.82 17.74 0.37 74.48 4154537 3127 0 4244139 3169 0 05/10/22 23:11:30
37 402856 3845992 1088 0 0 1992552 108280 6% 5.59 1.82 17.75 0.37 74.46 4189680 3167 0 4663458 3455 0 05/10/22 23:11:31
38 412672 3824596 1088 0 0 1992552 108280 6% 5.60 1.82 17.76 0.37 74.45 4234626 3172 0 4214959 3145 0 05/10/22 23:11:32
39 422320 3814808 1088 0 0 1992552 108280 6% 5.60 1.83 17.77 0.37 74.43 4366649 3210 0 4346802 3190 0 05/10/22 23:11:34
40 435108 3801916 1088 0 0 1992552 108280 6% 5.61 1.83 17.77 0.37 74.42 4501645 3393 0 4475136 3369 0 05/10/22 23:11:35
41 453112 3782912 1088 0 0 1992552 108280 6% 5.61 1.83 17.78 0.37 74.40 3479376 2490 0 3403109 2439 0 05/10/22 23:11:36
42 474672 3734708 1088 0 0 1992552 108280 6% 5.61 1.83 17.79 0.37 74.39 4275318 3199 0 4305615 3206 0 05/10/22 23:11:37
43 473608 3735676 1088 0 0 1992552 108280 6% 5.62 1.83 17.80 0.37 74.38 4567695 3420 0 4600335 3425 0 05/10/22 23:11:38
44 483084 3726076 1088 0 0 1992552 108280 6% 5.63 1.83 17.80 0.37 74.36 4669371 3495 0 4701795 3498 0 05/10/22 23:11:39
45 493712 3715328 1088 0 0 1992552 108280 6% 5.63 1.84 17.81 0.37 74.35 4371577 3238 0 4396769 3257 0 05/10/22 23:11:40
46 509192 3674360 1088 0 0 1992552 108280 6% 5.64 1.84 17.82 0.37 74.33 4545215 3375 0 4567611 3379 0 05/10/22 23:11:41
47 514096 3667620 1088 0 0 1992552 108280 6% 5.64 1.84 17.83 0.37 74.32 4176890 3170 0 4207062 3163 0 05/10/22 23:11:42
48 515528 3666076 1088 0 0 1992552 108280 6% 5.65 1.84 17.84 0.37 74.30 4394715 3081 0 4401164 3074 0 05/10/22 23:11:43
49 531820 3640372 1088 0 0 1992552 108280 6% 5.65 1.84 17.84 0.37 74.29 4124662 3024 0 4156402 3037 0 05/10/22 23:11:45
50 530872 3631820 1088 0 0 1992552 108280 6% 5.65 1.84 17.85 0.37 74.28 4427079 3312 0 4393196 3286 0 05/10/22 23:11:46
51 532200 3626544 1088 0 0 1992552 108280 6% 5.66 1.84 17.86 0.37 74.26 3982875 3000 0 3963595 2966 0 05/10/22 23:11:47
52 541620 3613156 1088 0 0 1992552 108280 6% 5.66 1.84 17.87 0.37 74.25 4277736 3209 0 4303313 3218 0 05/10/22 23:11:48
53 554260 3586648 1088 0 0 1992552 108280 6% 5.67 1.85 17.87 0.37 74.23 4342638 3262 0 4369638 3262 0 05/10/22 23:11:49
54 577600 3549272 1088 0 0 1992552 108280 6% 5.67 1.85 17.88 0.37 74.22 3717743 2840 0 3833897 2891 0 05/10/22 23:11:50
55 576648 3546460 1088 0 0 1992552 108280 6% 5.68 1.85 17.89 0.37 74.20 3951497 2951 0 3973477 2952 0 05/10/22 23:11:51
56 582136 3536932 1088 0 0 1992552 108280 6% 5.68 1.85 17.90 0.37 74.19 4282680 3203 0 4242649 3166 0 05/10/22 23:11:52
57 594184 3520560 1088 0 0 1992552 108280 6% 5.69 1.85 17.91 0.37 74.17 3191787 2208 0 3216539 2222 0 05/10/22 23:11:53
58 622328 3481400 1088 0 0 1992552 108280 6% 5.69 1.85 17.91 0.37 74.17 4136362 3114 0 4098535 3072 0 05/10/22 23:11:55
59 627452 3461212 1088 0 0 1992552 108280 6% 5.69 1.86 17.92 0.38 74.15 4355786 3270 0 4314839 3223 0 05/10/22 23:11:56
60 628228 3455936 1088 0 0 1992552 108280 6% 5.70 1.86 17.93 0.38 74.14 3943765 2936 0 3967226 2954 0 05/10/22 23:11:57
61 661312 3402064 1088 0 0 1992552 108280 6% 5.70 1.86 17.94 0.38 74.12 4482049 3327 0 4508129 3330 0 05/10/22 23:11:58
62 658196 3399236 1088 0 0 1992552 108280 6% 5.71 1.86 17.94 0.38 74.11 3756781 2863 0 3792330 2871 0 05/10/22 23:11:59
