Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 252288 5235148 1088 0 0 1992552 108280 6% 0.14 0.26 1.73 0.05 97.83 1908 6 0 1954 6 0 05/10/22 22:14:26
2 253304 5233892 1088 0 0 1992552 108280 6% 0.14 0.26 1.73 0.05 97.83 120 1 0 0 0 0 05/10/22 22:14:27
3 253444 5233740 1088 0 0 1992552 108280 6% 0.14 0.26 1.72 0.05 97.83 1908 6 0 1954 6 0 05/10/22 22:14:28
4 252648 5234520 1088 0 0 1992552 108280 6% 0.14 0.26 1.72 0.05 97.83 1306 6 0 1561 5 0 05/10/22 22:14:29
5 253892 5233196 1088 0 0 1992552 108280 6% 0.14 0.26 1.72 0.05 97.83 1908 6 0 1954 6 0 05/10/22 22:14:30
6 253460 5233612 1088 0 0 1992552 108280 6% 0.14 0.26 1.72 0.05 97.83 551 3 0 539 1 0 05/10/22 22:14:31
7 253988 5233084 1088 0 0 1992552 108280 6% 0.14 0.26 1.72 0.05 97.83 1477 4 0 1415 5 0 05/10/22 22:14:32
8 253208 5233864 1088 0 0 1992552 108280 6% 0.14 0.26 1.72 0.05 97.83 1950 6 0 1856 6 0 05/10/22 22:14:33
9 253980 5233084 1088 0 0 1992552 108280 6% 0.14 0.26 1.72 0.05 97.83 2748 10 0 2069 11 0 05/10/22 22:14:34
10 253396 5233668 1088 0 0 1992552 108280 6% 0.14 0.26 1.72 0.05 97.83 1869 5 0 1347 4 0 05/10/22 22:14:36
11 254136 5232896 1088 0 0 1992552 108280 6% 0.14 0.26 1.73 0.05 97.82 1595 5 0 1413 5 0 05/10/22 22:14:37
12 254200 5232832 1088 0 0 1992552 108280 6% 0.14 0.26 1.72 0.05 97.82 1468 4 0 1413 5 0 05/10/22 22:14:38
13 253284 5233748 1088 0 0 1992552 108280 6% 0.14 0.26 1.72 0.05 97.82 1204 7 0 2033 5 0 05/10/22 22:14:39
14 254040 5232992 1088 0 0 1992552 108280 6% 0.14 0.27 1.72 0.05 97.82 1906 6 0 1950 6 0 05/10/22 22:14:40
15 253292 5233740 1088 0 0 1992552 108280 6% 0.14 0.27 1.72 0.05 97.82 120 1 0 0 0 0 05/10/22 22:14:41
