Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 2068008 1384508 1092 0 0 1992552 108280 6% 1.33 0.81 5.78 0.09 91.98 408 2 0 386 4 0 28/09/22 21:57:16
2 2068412 1384104 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 2604 10 0 2760 9 0 28/09/22 21:57:17
3 2068420 1384096 1092 0 0 1992552 108280 6% 1.33 0.81 5.78 0.09 91.98 1374 2 0 132 2 0 28/09/22 21:57:18
4 2069688 1382836 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 2590 9 0 2685 8 0 28/09/22 21:57:19
5 2068972 1383552 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 0 0 0 0 0 0 28/09/22 21:57:20
6 2069640 1382884 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 2022 7 0 1938 6 0 28/09/22 21:57:22
7 2068996 1383528 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 1366 3 0 1330 5 0 28/09/22 21:57:23
8 2069720 1382804 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 1478 4 0 1423 5 0 28/09/22 21:57:24
9 2069956 1382568 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 1085 4 0 969 3 0 28/09/22 21:57:25
10 2068796 1383728 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 912 3 0 824 6 0 28/09/22 21:57:26
11 2069608 1382916 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 2213 9 0 2142 7 0 28/09/22 21:57:27
12 2069184 1383340 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 389 1 0 616 2 0 28/09/22 21:57:28
13 2069892 1382632 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 3964 11 0 2817 10 0 28/09/22 21:57:29
14 2068764 1383760 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 0 0 0 0 0 0 28/09/22 21:57:30
15 2069576 1382948 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 2020 7 0 1938 6 0 28/09/22 21:57:31
16 2068536 1383988 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 1372 3 0 1338 5 0 28/09/22 21:57:32
17 2069608 1382916 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 2037 7 0 1970 6 0 28/09/22 21:57:33
18 2068868 1383656 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 502 1 0 66 1 0 28/09/22 21:57:34
19 2068916 2067876 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 2021 7 0 1938 6 0 28/09/22 21:57:35
20 2068232 2068560 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 601 4 0 590 5 0 28/09/22 21:57:37
21 2068932 2067860 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 2409 8 0 2556 8 0 28/09/22 21:57:38
22 2067876 2068916 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 2403 6 0 1782 6 0 28/09/22 21:57:39
23 2068712 2068080 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 1056 4 0 969 3 0 28/09/22 21:57:40
24 2067876 2068916 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 2021 7 0 1938 6 0 28/09/22 21:57:41
25 2068620 2068168 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 0 0 0 0 0 0 28/09/22 21:57:42
26 2068740 2068048 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 3935 11 0 3937 13 0 28/09/22 21:57:43
27 2067916 2068860 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 508 1 0 66 1 0 28/09/22 21:57:44
28 2068696 2068080 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 2061 7 0 1956 6 0 28/09/22 21:57:45
29 2067916 2068860 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 15044835 10016 0 50691 279 0 28/09/22 21:57:46
30 2069656 2037664 1092 0 0 1992552 108280 6% 1.33 0.82 5.78 0.09 91.98 4253065 2971 0 81105 261 0 28/09/22 21:57:47
31 2068608 2034412 1092 0 0 1992552 108280 6% 1.34 0.82 5.78 0.09 91.97 4187359 2932 0 82391 265 0 28/09/22 21:57:48
32 2069012 2020780 1092 0 0 1992552 108280 6% 1.34 0.82 5.79 0.09 91.96 4116383 2889 0 85143 281 0 28/09/22 21:57:49
33 2067756 2012016 1092 0 0 1992552 108280 6% 1.34 0.82 5.79 0.09 91.96 4238714 2882 0 46888 172 0 28/09/22 21:57:51
34 2068368 2007204 1092 0 0 1992552 108280 6% 1.34 0.82 5.79 0.09 91.95 3418528 2379 0 60782 198 0 28/09/22 21:57:52
