Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
37 425420 3826348 1088 0 0 1992552 108280 6% 3.44 2.14 14.50 0.19 79.72 4450887 3085 0 74345 241 0 05/10/22 22:58:02
38 427052 3824576 1088 0 0 1992552 108280 6% 3.45 2.14 14.51 0.19 79.70 2363624 1642 0 41766 152 0 05/10/22 22:58:03
39 426680 3824884 1088 0 0 1992552 108280 6% 3.45 2.14 14.52 0.20 79.69 6032757 4104 0 64645 224 0 05/10/22 22:58:04
40 431700 3798392 1088 0 0 1992552 108280 6% 3.46 2.14 14.53 0.20 79.67 4376925 3019 0 68261 230 0 05/10/22 22:58:05
41 432860 3796368 1088 0 0 1992552 108280 6% 3.46 2.15 14.54 0.20 79.65 4012475 2785 0 67540 222 0 05/10/22 22:58:07
42 434016 3795084 1088 0 0 1992552 108280 6% 3.47 2.15 14.55 0.20 79.63 4197834 2853 0 41201 162 0 05/10/22 22:58:08
43 437356 3791620 1088 0 0 1992552 108280 6% 3.47 2.15 14.56 0.20 79.62 4064228 2830 0 72285 240 0 05/10/22 22:58:09
44 447572 3781216 1088 0 0 1992552 108280 6% 3.47 2.15 14.57 0.20 79.60 4060955 2819 0 68455 227 0 05/10/22 22:58:10
45 457080 3757032 1088 0 0 1992552 108280 6% 3.48 2.16 14.58 0.20 79.59 3969777 2704 0 44843 158 0 05/10/22 22:58:11
46 475764 3729736 1088 0 0 1992552 108280 6% 3.48 2.16 14.59 0.20 79.57 3903227 2698 0 63859 215 0 05/10/22 22:58:12
47 475376 3730012 1088 0 0 1992552 108280 6% 3.48 2.16 14.60 0.20 79.55 3839379 2661 0 67585 212 0 05/10/22 22:58:13
48 496172 3691612 1088 0 0 1992552 108280 6% 3.49 2.16 14.61 0.20 79.53 3904971 2715 0 70481 225 0 05/10/22 22:58:14
49 495572 3692028 1088 0 0 1992552 108280 6% 3.49 2.17 14.63 0.20 79.52 4852488 3324 0 67293 221 0 05/10/22 22:58:15
50 499324 3688172 1088 0 0 1992552 108280 6% 3.49 2.17 14.64 0.20 79.50 3718749 2602 0 72058 234 0 05/10/22 22:58:16
51 510628 3676712 1088 0 0 1992552 108280 6% 3.50 2.17 14.65 0.20 79.48 3919545 2718 0 65744 218 0 05/10/22 22:58:17
52 539100 3645292 1088 0 0 1992552 108280 6% 3.50 2.17 14.66 0.20 79.46 3341118 2341 0 67109 217 0 05/10/22 22:58:18
53 540228 3640944 1088 0 0 1992552 108280 6% 3.51 2.18 14.67 0.20 79.44 4214257 2923 0 68042 223 0 05/10/22 22:58:19
54 553924 3596332 1088 0 0 1992552 108280 6% 3.51 2.18 14.68 0.20 79.42 4303230 2993 0 75518 250 0 05/10/22 22:58:21
55 555204 3590912 1088 0 0 1992552 108280 6% 3.52 2.18 14.70 0.20 79.40 4220923 2939 0 74375 244 0 05/10/22 22:58:22
56 558728 3583172 1088 0 0 1992552 108280 6% 3.52 2.18 14.71 0.20 79.38 3996976 2675 0 20348 109 0 05/10/22 22:58:23
57 571728 3566036 1088 0 0 1992552 108280 6% 3.52 2.18 14.71 0.20 79.38 4338852 3016 0 72944 243 0 05/10/22 22:58:24
58 581352 3551616 1088 0 0 1992552 108280 6% 3.53 2.19 14.72 0.20 79.36 3776863 2619 0 61408 199 0 05/10/22 22:58:25
59 612024 3498860 1088 0 0 1992552 108280 6% 3.53 2.19 14.73 0.20 79.34 4464134 3054 0 55633 208 0 05/10/22 22:58:26
60 614596 3491908 1088 0 0 1992552 108280 6% 3.53 2.19 14.74 0.20 79.33 3592811 2506 0 66163 213 0 05/10/22 22:58:27
61 615496 3487300 1088 0 0 1992552 108280 6% 3.54 2.19 14.75 0.20 79.31 3890250 2703 0 63072 211 0 05/10/22 22:58:28
62 620920 3477740 1088 0 0 1992552 108280 6% 3.54 2.20 14.77 0.20 79.29 3916941 2727 0 70550 227 0 05/10/22 22:58:29
