ID CpuUsr CpuSys CpuGst CpuWait CpuPerc MinFlt MajFlt %MEM Threads Swap RSS Size Data Hora
1 1.00 0.00 0.00 0.00 1.00 0.00 0.00 30.02 66 0 1826332 3565068 28/09/22 21:03:34
2 1.00 0.00 0.00 0.00 1.00 0.00 0.00 30.02 66 0 1826332 3565068 28/09/22 21:03:36
3 2.00 0.00 0.00 0.00 2.00 0.00 0.00 30.02 66 0 1826332 3565068 28/09/22 21:03:38
4 1.00 0.00 0.00 0.00 1.00 0.00 0.00 30.02 66 0 1826332 3565068 28/09/22 21:03:40
5 1.00 1.00 0.00 0.00 2.00 0.00 0.00 30.02 66 0 1826332 3565068 28/09/22 21:03:42
6 1.00 1.00 0.00 0.00 2.00 0.00 0.00 30.02 66 0 1826332 3565068 28/09/22 21:03:44
7 1.00 0.00 0.00 0.00 1.00 0.00 0.00 30.02 66 0 1826332 3565068 28/09/22 21:03:46
8 5.00 3.00 0.00 0.00 8.00 1598.00 0.00 30.12 81 0 1832400 3655224 28/09/22 21:03:48
9 31.00 7.00 0.00 0.00 38.00 5.00 0.00 30.04 82 0 1827896 3663420 28/09/22 21:03:50
10 38.00 7.00 0.00 0.00 45.00 1.00 0.00 29.91 82 0 1819944 3663420 28/09/22 21:03:52
11 32.67 8.91 0.00 0.00 41.58 69.31 0.00 29.77 82 0 1811304 3663420 28/09/22 21:03:54
12 41.00 5.00 0.00 0.00 46.00 66.00 0.00 29.63 82 0 1802812 3663420 28/09/22 21:03:56
13 41.00 12.00 0.00 0.00 53.00 44.00 0.00 29.49 82 0 1794500 3663420 28/09/22 21:03:58
14 39.00 7.00 0.00 0.00 46.00 4.00 0.00 29.34 82 0 1785420 3663420 28/09/22 21:04:00
15 29.00 4.00 0.00 0.00 33.00 2.00 0.00 29.24 82 0 1778836 3663420 28/09/22 21:04:02
16 19.00 6.00 0.00 0.00 25.00 274.00 0.00 29.15 82 0 1773520 3663420 28/09/22 21:04:04
17 45.00 8.00 0.00 0.00 53.00 1.00 0.00 29.00 83 0 1764496 3671616 28/09/22 21:04:06
18 43.00 10.00 0.00 0.00 53.00 232.00 0.00 28.87 83 0 1756388 3671616 28/09/22 21:04:08
19 20.00 8.00 0.00 0.00 28.00 213.00 0.00 28.77 83 0 1750616 3671616 28/09/22 21:04:10
20 22.77 1.98 0.00 0.00 24.75 1.98 0.00 28.65 83 0 1743552 3671616 28/09/22 21:04:12
21 42.00 6.00 0.00 0.00 48.00 116.00 0.00 28.56 83 0 1737956 3671616 28/09/22 21:04:15
22 40.00 11.00 0.00 0.00 51.00 0.00 0.00 28.45 83 0 1731164 3671616 28/09/22 21:04:17
23 45.00 2.00 0.00 0.00 47.00 0.00 0.00 28.31 83 0 1721648 3671616 28/09/22 21:04:19
24 19.00 4.00 0.00 0.00 23.00 161.00 0.00 28.23 83 0 1717428 3671616 28/09/22 21:04:21
25 30.00 4.00 0.00 0.00 34.00 319.00 0.00 28.13 83 0 1711876 3671616 28/09/22 21:04:23
26 32.00 6.00 0.00 0.00 38.00 517.00 0.00 28.16 83 0 1713288 3671616 28/09/22 21:04:25
27 44.00 6.00 0.00 0.00 50.00 164.00 0.00 28.05 83 0 1706424 3671616 28/09/22 21:04:27
28 28.00 9.00 0.00 0.00 37.00 571.00 0.00 28.03 83 0 1705360 3671616 28/09/22 21:04:29
