Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
43 1701804 2899552 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 0 0 0 0 0 0 28/09/22 20:39:54
44 1702940 2898416 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 3459 10 0 2751 9 0 28/09/22 20:39:55
45 1701820 2899536 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 474 3 0 452 5 0 28/09/22 20:39:56
46 1702812 2898544 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 2600 10 0 2758 9 0 28/09/22 20:39:57
47 1701756 2899600 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 0 0 0 0 0 0 28/09/22 20:39:58
48 1702844 2898512 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 2520 8 0 2004 7 0 28/09/22 20:39:59
49 1702112 2899244 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 0 0 0 0 0 0 28/09/22 20:40:00
50 1702464 2898892 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 2020 7 0 1938 6 0 28/09/22 20:40:01
51 1701656 2899696 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 1479 4 0 1330 5 0 28/09/22 20:40:02
52 1702452 2898900 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 1976 7 0 1950 6 0 28/09/22 20:40:03
53 1701748 2899600 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 1993 4 0 198 3 0 28/09/22 20:40:04
54 1702520 2898828 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 1966 7 0 2619 7 0 28/09/22 20:40:05
55 1701708 2899640 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 2621 11 0 2528 11 0 28/09/22 20:40:07
56 1702424 2898924 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 386 1 0 616 2 0 28/09/22 20:40:08
57 1701708 2899640 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 2020 7 0 1938 6 0 28/09/22 20:40:09
58 1702488 2898860 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 0 0 0 0 0 0 28/09/22 20:40:10
59 1701796 2899552 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 2020 7 0 1938 6 0 28/09/22 20:40:11
60 1702488 2898860 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 1358 3 0 1332 5 0 28/09/22 20:40:12
61 1701456 2899892 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 2033 7 0 1951 6 0 28/09/22 20:40:13
62 1702188 2899144 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 1194 2 0 132 2 0 28/09/22 20:40:14
63 1702188 2899144 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 2086 8 0 2619 7 0 28/09/22 20:40:15
64 1701236 2900096 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 408 2 0 386 4 0 28/09/22 20:40:16
65 1702284 2899048 1092 0 0 1992552 108280 6% 0.47 0.26 2.01 0.04 97.21 2600 10 0 2758 9 0 28/09/22 20:40:17
66 1701192 2900136 1092 0 0 1992552 108280 6% 0.47 0.27 2.01 0.04 97.21 0 0 0 0 0 0 28/09/22 20:40:18
67 1702248 2899080 1092 0 0 1992552 108280 6% 0.47 0.27 2.01 0.04 97.21 2400 7 0 2004 7 0 28/09/22 20:40:19
68 1701184 2900144 1092 0 0 1992552 108280 6% 0.47 0.27 2.01 0.04 97.21 2020 7 0 1938 6 0 28/09/22 20:40:21
69 1701964 2899364 1092 0 0 1992552 108280 6% 0.47 0.27 2.01 0.04 97.21 0 0 0 0 0 0 28/09/22 20:40:22
70 1701128 2900200 1092 0 0 1992552 108280 6% 0.47 0.27 2.01 0.04 97.21 4286 12 0 3950 14 0 28/09/22 20:40:23
71 1702224 2899104 1092 0 0 1992552 108280 6% 0.47 0.27 2.01 0.04 97.21 0 0 0 0 0 0 28/09/22 20:40:24
72 1701096 2900232 1092 0 0 1992552 108280 6% 0.47 0.27 2.01 0.04 97.20 4409 13 0 2949 12 0 28/09/22 20:40:25
73 1701932 2899396 1092 0 0 1992552 108280 6% 0.47 0.27 2.01 0.04 97.20 408 2 0 386 4 0 28/09/22 20:40:26
74 1701816 2899512 1092 0 0 1992552 108280 6% 0.47 0.27 2.01 0.04 97.20 2601 10 0 2758 9 0 28/09/22 20:40:27
75 1702256 2899072 1092 0 0 1992552 108280 6% 0.47 0.27 2.01 0.04 97.20 500 1 0 66 1 0 28/09/22 20:40:28
