Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 246416 4044420 1088 0 0 1992552 108280 6% 4.20 2.50 16.58 0.23 76.49 558 3 0 537 1 0 05/10/22 23:10:59
2 246800 4044032 1088 0 0 1992552 108280 6% 4.20 2.50 16.57 0.23 76.49 3398 8 0 2793 11 0 05/10/22 23:11:00
3 246524 4044308 1088 0 0 1992552 108280 6% 4.20 2.50 16.58 0.23 76.49 556 3 0 539 1 0 05/10/22 23:11:01
4 246420 4044412 1088 0 0 1992552 108280 6% 4.20 2.50 16.58 0.23 76.49 1532 5 0 1411 5 0 05/10/22 23:11:02
5 248088 4042740 1088 0 0 1992552 108280 6% 4.20 2.50 16.57 0.23 76.49 556 3 0 539 1 0 05/10/22 23:11:04
6 247016 4043812 1088 0 0 1992552 108280 6% 4.20 2.50 16.57 0.23 76.50 1588 5 0 1411 5 0 05/10/22 23:11:05
7 248056 4042772 1088 0 0 1992552 108280 6% 4.20 2.50 16.57 0.23 76.50 1354 4 0 1218 4 0 05/10/22 23:11:06
8 246960 4043868 1088 0 0 1992552 108280 6% 4.19 2.50 16.56 0.23 76.51 1588 5 0 1411 5 0 05/10/22 23:11:07
9 248128 4042700 1088 0 0 1992552 108280 6% 4.19 2.50 16.58 0.23 76.50 436 2 0 539 1 0 05/10/22 23:11:08
10 247340 4043488 1088 0 0 1992552 108280 6% 4.19 2.50 16.57 0.23 76.50 1588 5 0 1411 5 0 05/10/22 23:11:09
11 248088 4042740 1088 0 0 1992552 108280 6% 4.19 2.50 16.58 0.23 76.50 2369 6 0 1920 7 0 05/10/22 23:11:10
12 247188 4043632 1088 0 0 1992552 108280 6% 4.19 2.50 16.58 0.23 76.49 1588 5 0 1413 5 0 05/10/22 23:11:11
13 247796 4043024 1088 0 0 1992552 108280 6% 4.19 2.50 16.58 0.23 76.49 438 2 0 537 1 0 05/10/22 23:11:12
14 247220 4043600 1088 0 0 1992552 108280 6% 4.19 2.50 16.58 0.23 76.50 2026 7 0 1950 6 0 05/10/22 23:11:13
15 248024 4042796 1088 0 0 1992552 108280 6% 4.19 2.50 16.57 0.23 76.50 431 2 0 537 1 0 05/10/22 23:11:14
16 247676 4043144 1088 0 0 1992552 108280 6% 4.19 2.50 16.57 0.23 76.51 3546 12 0 3246 12 0 05/10/22 23:11:15
17 247008 4043812 1088 0 0 1992552 108280 6% 4.19 2.50 16.57 0.23 76.51 1492 4 0 1421 5 0 05/10/22 23:11:16
18 247928 4042892 1088 0 0 1992552 108280 6% 4.19 2.50 16.58 0.23 76.50 558 3 0 541 1 0 05/10/22 23:11:17
19 247260 4043560 1088 0 0 1992552 108280 6% 4.19 2.50 16.57 0.23 76.51 3571 8 0 2878 11 0 05/10/22 23:11:18
20 249048 4041748 1088 0 0 1992552 108280 6% 4.19 2.50 16.57 0.23 76.51 6208501 4144 0 29832 202 0 05/10/22 23:11:19
21 270300 4020340 1088 0 0 1992552 108280 6% 4.19 2.50 16.57 0.23 76.50 2949382 2037 0 47486 157 0 05/10/22 23:11:21
22 280040 4010520 1088 0 0 1992552 108280 6% 4.19 2.50 16.58 0.23 76.49 4190358 2898 0 68622 211 0 05/10/22 23:11:22
23 294304 3996148 1088 0 0 1992552 108280 6% 4.19 2.50 16.59 0.23 76.48 4569117 3154 0 71777 230 0 05/10/22 23:11:23
24 311884 3978452 1088 0 0 1992552 108280 6% 4.20 2.50 16.60 0.23 76.46 4458610 3077 0 69987 225 0 05/10/22 23:11:24
25 327768 3962412 1088 0 0 1992552 108280 6% 4.20 2.51 16.61 0.23 76.45 3896181 2711 0 70245 229 0 05/10/22 23:11:25
