ID CpuUsr CpuSys CpuGst CpuWait CpuPerc MinFlt MajFlt %MEM Threads Swap RSS Size Data Hora
1 1.00 0.00 0.00 0.00 1.00 0.00 0.00 31.60 65 0 1922632 3563720 28/09/22 21:57:19
2 1.00 0.00 0.00 0.00 1.00 0.00 0.00 31.60 65 0 1922632 3563720 28/09/22 21:57:21
3 0.99 0.00 0.00 0.00 0.99 0.00 0.00 31.60 65 0 1922632 3563720 28/09/22 21:57:23
4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 31.60 65 0 1922632 3563720 28/09/22 21:57:25
5 1.00 1.00 0.00 0.00 2.00 0.00 0.00 31.60 65 0 1922632 3563720 28/09/22 21:57:27
6 0.00 2.00 0.00 0.00 2.00 0.00 0.00 31.60 65 0 1922632 3563720 28/09/22 21:57:29
7 1.00 0.00 0.00 0.00 1.00 0.00 0.00 31.60 65 0 1922632 3563720 28/09/22 21:57:31
8 1.00 1.00 0.00 0.00 2.00 0.00 0.00 31.60 65 0 1922632 3563720 28/09/22 21:57:33
9 9.00 5.00 0.00 0.00 14.00 0.00 0.00 31.59 65 0 1921960 3563720 28/09/22 21:57:35
10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 31.59 65 0 1921960 3563720 28/09/22 21:57:37
11 0.00 0.00 0.00 0.00 0.00 0.00 0.00 31.59 65 0 1921960 3563720 28/09/22 21:57:39
12 1.00 0.00 0.00 0.00 1.00 0.00 0.00 31.59 65 0 1921960 3563720 28/09/22 21:57:41
13 2.00 0.00 0.00 0.00 2.00 3.00 0.00 31.59 65 0 1921960 3563720 28/09/22 21:57:43
14 0.00 0.00 0.00 0.00 0.00 0.00 0.00 31.59 65 0 1921960 3563720 28/09/22 21:57:45
15 17.00 14.00 0.00 0.00 31.00 5.00 0.00 31.61 67 0 1923288 3567856 28/09/22 21:57:47
16 26.00 6.00 0.00 0.00 32.00 12.00 0.00 31.60 67 0 1922436 3567856 28/09/22 21:57:49
17 11.00 9.00 0.00 0.00 20.00 0.00 0.00 31.59 67 0 1922216 3567856 28/09/22 21:57:51
18 14.00 12.00 0.00 0.00 26.00 0.00 0.00 31.58 67 0 1921520 3567856 28/09/22 21:57:53
19 20.00 9.00 0.00 0.00 29.00 7.00 0.00 31.57 67 0 1920760 3567856 28/09/22 21:57:55
20 27.00 4.00 0.00 0.00 31.00 43.00 0.00 31.56 68 0 1920148 3567856 28/09/22 21:57:57
21 27.00 7.00 0.00 0.00 34.00 7.00 0.00 31.55 68 0 1919500 3567856 28/09/22 21:57:59
22 19.00 6.00 0.00 0.00 25.00 8.00 0.00 31.54 68 0 1918908 3567856 28/09/22 21:58:01
23 28.00 8.00 0.00 0.00 36.00 97.00 0.00 31.54 68 0 1918956 3567856 28/09/22 21:58:03
24 20.00 10.00 0.00 0.00 30.00 2.00 0.00 31.53 68 0 1918212 3567856 28/09/22 21:58:05
25 22.00 4.00 0.00 0.00 26.00 0.00 0.00 31.51 68 0 1917436 3567856 28/09/22 21:58:07
26 19.00 8.00 0.00 0.00 27.00 40.00 0.00 31.50 68 0 1916896 3567856 28/09/22 21:58:09
27 27.00 12.00 0.00 0.00 39.00 77.00 0.00 31.50 68 0 1916660 3567856 28/09/22 21:58:11
28 11.00 10.00 0.00 0.00 21.00 7.00 0.00 31.49 68 0 1916088 3567856 28/09/22 21:58:13
29 24.00 6.00 0.00 0.00 30.00 12.00 0.00 31.48 68 0 1915500 3567856 28/09/22 21:58:15
30 25.00 14.00 0.00 0.00 39.00 193.00 0.00 31.48 68 0 1915708 3567856 28/09/22 21:58:17
31 16.00 7.00 0.00 0.00 23.00 2.00 0.00 31.47 68 0 1915088 3567856 28/09/22 21:58:19
32 16.00 12.00 0.00 0.00 28.00 85.00 0.00 31.47 68 0 1914716 3567856 28/09/22 21:58:21
33 17.00 6.00 0.00 0.00 23.00 248.00 0.00 31.48 68 0 1915708 3567856 28/09/22 21:58:23
34 17.82 9.90 0.00 0.00 27.72 1.98 0.00 31.47 68 0 1915048 3567856 28/09/22 21:58:26
35 10.00 2.00 0.00 0.00 12.00 4.00 0.00 31.49 67 0 1916212 3567856 28/09/22 21:58:28
36 17.00 12.00 0.00 0.00 29.00 2.00 0.00 31.49 67 0 1915800 3567856 28/09/22 21:58:30
37 10.00 6.00 0.00 0.00 16.00 4.00 0.00 31.50 67 0 1916408 3567856 28/09/22 21:58:32
38 15.00 12.00 0.00 0.00 27.00 0.00 0.00 31.52 67 0 1918160 3567856 28/09/22 21:58:34
39 12.87 7.92 0.00 0.00 20.79 68.32 0.00 31.52 67 0 1917952 3567856 28/09/22 21:58:36
40 12.00 4.00 0.00 0.00 16.00 0.00 0.00 31.52 67 0 1917580 3567856 28/09/22 21:58:38
41 18.00 10.00 0.00 0.00 28.00 0.00 0.00 31.52 67 0 1917616 3567856 28/09/22 21:58:40
42 26.00 11.00 0.00 0.00 37.00 178.00 0.00 31.51 67 0 1917372 3567856 28/09/22 21:58:42
43 16.00 6.00 0.00 0.00 22.00 12.00 0.00 31.55 67 0 1919884 3567856 28/09/22 21:58:44
44 21.00 6.00 0.00 0.00 27.00 0.00 0.00 31.63 68 0 1924380 3567856 28/09/22 21:58:46
45 7.00 5.00 0.00 0.00 12.00 121.00 0.00 31.62 68 0 1924172 3567856 28/09/22 21:58:48
46 22.00 10.00 0.00 0.00 32.00 3.00 0.00 31.62 68 0 1923720 3567856 28/09/22 21:58:50
47 29.00 10.00 0.00 0.00 39.00 127.00 0.00 31.62 68 0 1924248 3567856 28/09/22 21:58:52
48 16.00 5.00 0.00 0.00 21.00 139.00 0.00 31.63 68 0 1924428 3567856 28/09/22 21:58:54
49 24.00 11.00 0.00 0.00 35.00 93.00 0.00 31.64 68 0 1925220 3567856 28/09/22 21:58:56
50 16.00 9.00 0.00 0.00 25.00 0.00 0.00 31.63 68 0 1924532 3567856 28/09/22 21:58:58
51 23.00 7.00 0.00 0.00 30.00 0.00 0.00 31.62 68 0 1923860 3567856 28/09/22 21:59:00
