ID CpuUsr CpuSys CpuGst CpuWait CpuPerc MinFlt MajFlt %MEM Threads Swap RSS Size Data Hora
55 74,00 18,00 0,00 0,00 92,00 1808,00 0,00 31,12 89 0 1895856 3648864 28/09/22 21:37:03
56 78,00 14,00 0,00 0,00 92,00 331,00 0,00 31,49 89 0 1916136 3648864 28/09/22 21:37:05
57 73,00 19,00 0,00 0,00 92,00 17,00 0,00 31,40 89 0 1910460 3648864 28/09/22 21:37:07
58 70,30 21,78 0,00 0,00 92,08 5,94 0,00 31,36 89 0 1907944 3648864 28/09/22 21:37:09
59 71,00 18,00 0,00 0,00 89,00 753,00 0,00 31,52 89 0 1917852 3648864 28/09/22 21:37:11
60 77,00 17,00 0,00 0,00 94,00 4678,00 0,00 31,81 89 0 1935784 3648864 28/09/22 21:37:13
61 76,00 16,00 0,00 0,00 92,00 86,00 0,00 31,96 89 0 1944684 3648864 28/09/22 21:37:15
62 76,00 16,00 0,00 0,00 92,00 23,00 0,00 31,88 89 0 1939700 3648864 28/09/22 21:37:17
63 78,00 18,00 0,00 0,00 96,00 1569,00 0,00 31,91 89 0 1941868 3648864 28/09/22 21:37:19
64 74,00 17,00 0,00 0,00 91,00 4113,00 0,00 32,14 89 0 1955628 3648864 28/09/22 21:37:21
65 77,00 15,00 0,00 0,00 92,00 43,00 0,00 32,07 89 0 1951232 3648864 28/09/22 21:37:23
66 80,00 13,00 0,00 0,00 93,00 493,00 0,00 32,10 89 0 1952996 3648864 28/09/22 21:37:26
67 74,00 19,00 0,00 0,00 93,00 702,00 0,00 32,39 88 0 1970740 3648864 28/09/22 21:37:28
68 82,00 15,00 0,00 0,00 97,00 28,00 0,00 32,33 88 0 1967004 3648864 28/09/22 21:37:30
69 66,00 26,00 0,00 0,00 92,00 98,00 0,00 32,28 88 0 1964300 3648864 28/09/22 21:37:32
70 70,00 22,00 0,00 0,00 92,00 49,00 0,00 32,20 88 0 1959208 3648864 28/09/22 21:37:34
71 68,00 25,00 0,00 0,00 93,00 2369,00 0,00 32,40 88 0 1971540 3648864 28/09/22 21:37:36
72 67,00 24,00 0,00 0,00 91,00 30,00 0,00 32,31 88 0 1966180 3648864 28/09/22 21:37:38
73 75,00 25,00 0,00 0,00 100,00 2247,00 0,00 32,41 88 0 1971816 3648864 28/09/22 21:37:40
74 69,31 21,78 0,00 0,00 91,09 541,58 0,00 32,37 88 0 1969760 3648864 28/09/22 21:37:42
75 73,00 19,00 0,00 0,00 92,00 423,00 0,00 32,35 88 0 1968648 3648864 28/09/22 21:37:44
76 66,00 27,00 0,00 0,00 93,00 571,00 0,00 32,39 88 0 1970804 3648864 28/09/22 21:37:46
77 69,00 24,00 0,00 0,00 93,00 24,00 0,00 32,30 88 0 1965472 3648864 28/09/22 21:37:48
78 74,00 23,00 0,00 0,00 97,00 30,00 0,00 32,23 88 0 1961168 3648864 28/09/22 21:37:50
79 72,00 20,00 0,00 0,00 92,00 248,00 0,00 32,25 88 0 1962124 3648864 28/09/22 21:37:52
80 65,00 27,00 0,00 0,00 92,00 733,00 0,00 32,36 88 0 1968788 3648864 28/09/22 21:37:54
81 73,00 18,00 0,00 0,00 91,00 50,00 0,00 32,31 88 0 1965952 3648864 28/09/22 21:37:56
82 67,00 26,00 0,00 0,00 93,00 1892,00 0,00 32,37 88 0 1969856 3648864 28/09/22 21:37:58
83 68,00 26,00 0,00 0,00 94,00 945,00 0,00 32,38 88 0 1970304 3648864 28/09/22 21:38:00
84 69,00 23,00 0,00 0,00 92,00 101,00 0,00 32,31 88 0 1965712 3648864 28/09/22 21:38:02
85 73,00 18,00 0,00 0,00 91,00 42,00 0,00 32,25 88 0 1962544 3648864 28/09/22 21:38:04
86 69,00 24,00 0,00 0,00 93,00 301,00 0,00 32,30 88 0 1967416 3648864 28/09/22 21:38:07
87 74,00 23,00 0,00 0,00 97,00 80,00 0,00 32,36 88 0 1969112 3648864 28/09/22 21:38:09
88 75,00 17,00 0,00 0,00 92,00 455,00 0,00 32,32 88 0 1966724 3648864 28/09/22 21:38:11
89 76,00 16,00 0,00 0,00 92,00 68,00 0,00 32,37 88 0 1969776 3648864 28/09/22 21:38:13
90 73,00 20,00 0,00 0,00 93,00 327,00 0,00 32,36 88 0 1968816 3648864 28/09/22 21:38:15
91 68,00 25,00 0,00 0,00 93,00 305,00 0,00 32,29 88 0 1964964 3648864 28/09/22 21:38:17
92 74,00 24,00 0,00 0,00 98,00 1343,00 0,00 32,34 88 0 1967628 3648864 28/09/22 21:38:19
93 67,00 25,00 0,00 0,00 92,00 355,00 0,00 32,35 88 0 1968088 3648864 28/09/22 21:38:21
94 72,28 19,80 0,00 0,00 92,08 2,97 0,00 32,35 88 0 1968408 3648864 28/09/22 21:38:23
95 72,00 22,00 0,00 0,00 94,00 349,00 0,00 32,37 88 0 1969728 3648864 28/09/22 21:38:25
96 71,00 22,00 0,00 0,00 93,00 0,00 0,00 32,38 88 0 1970200 3648864 28/09/22 21:38:27
97 75,00 23,00 0,00 0,00 98,00 33,00 0,00 32,31 88 0 1965884 3648864 28/09/22 21:38:29
98 73,00 20,00 0,00 0,00 93,00 358,00 0,00 32,30 88 0 1965360 3648864 28/09/22 21:38:31
99 65,00 28,00 0,00 0,00 93,00 145,00 0,00 32,36 88 0 1968960 3648864 28/09/22 21:38:33
100 66,00 27,00 0,00 0,00 93,00 2123,00 0,00 32,38 88 0 1970172 3648864 28/09/22 21:38:35
101 68,00 24,00 0,00 0,00 92,00 14,00 0,00 32,36 88 0 1969096 3648864 28/09/22 21:38:37
102 72,00 24,00 0,00 0,00 96,00 14,00 0,00 32,30 88 0 1965552 3648864 28/09/22 21:38:39
103 74,00 19,00 0,00 0,00 93,00 1161,00 0,00 32,20 88 0 1959536 3648864 28/09/22 21:38:41
104 69,00 24,00 0,00 0,00 93,00 23,00 0,00 32,26 88 0 1963052 3648864 28/09/22 21:38:43
105 57,43 9,90 0,00 0,00 67,33 1700,99 0,00 32,07 67 0 1951468 3648864 28/09/22 21:38:45
106 1,00 0,00 0,00 0,00 1,00 1,00 0,00 32,07 67 0 1951468 3648864 28/09/22 21:38:47
107 0,00 0,00 0,00 0,00 0,00 0,00 0,00 32,07 67 0 1951468 3648864 28/09/22 21:38:49
108 1,00 1,00 0,00 0,00 2,00 0,00 0,00 32,07 67 0 1951720 3648864 28/09/22 21:38:52
109 0,00 0,00 0,00 0,00 0,00 0,00 0,00 32,08 67 0 1951720 3648864 28/09/22 21:38:54
110 1,00 1,00 0,00 0,00 2,00 0,00 0,00 32,08 67 0 1951720 3648864 28/09/22 21:38:56
111 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,08 67 0 1951720 3648864 28/09/22 21:38:58
112 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,08 67 0 1951720 3648864 28/09/22 21:39:00
113 4,00 1,00 0,00 0,00 5,00 18,00 0,00 32,08 67 0 1951720 3648864 28/09/22 21:39:02
114 1,00 1,00 0,00 0,00 2,00 0,00 0,00 32,08 67 0 1951720 3648864 28/09/22 21:39:04
115 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,08 67 0 1951720 3648864 28/09/22 21:39:06
116 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,08 67 0 1951720 3648864 28/09/22 21:39:08
117 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,08 67 0 1951720 3648864 28/09/22 21:39:10
118 1,98 0,99 0,00 0,00 2,97 16,83 0,00 32,08 67 0 1951720 3648864 28/09/22 21:39:12
119 0,00 0,00 0,00 0,00 0,00 0,00 0,00 32,08 67 0 1951720 3648864 28/09/22 21:39:14
120 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,08 67 0 1951720 3648864 28/09/22 21:39:16
