Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 1202472 3387136 1088 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 2020 7 0 1926 6 0 28/09/22 20:39:39
2 1202728 3386876 1088 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 66 1 0 498 1 0 28/09/22 20:39:40
3 1214316 3375288 1088 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 1518 6 0 1488 4 0 28/09/22 20:39:41
4 1213956 3375628 1088 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 4930 14 0 4829 14 0 28/09/22 20:39:42
5 1214404 3375180 1088 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 1461 7 0 1725 7 0 28/09/22 20:39:43
6 1238048 3351252 1092 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 13122 18 0 2696 16 0 28/09/22 20:39:44
7 1223360 3365860 1096 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 2412 6 0 1778 6 0 28/09/22 20:39:45
8 1223312 3365892 1096 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 1250 6 0 1171 4 0 28/09/22 20:39:46
9 1223312 3365892 1096 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 2893 9 0 2418 11 0 28/09/22 20:39:47
10 1206412 3382792 1096 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 1123 5 0 1467 4 0 28/09/22 20:39:48
11 1206444 3382752 1096 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 971 3 0 967 3 0 28/09/22 20:39:49
12 1206160 3383036 1096 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 1057 4 0 967 3 0 28/09/22 20:39:50
13 1206032 3383164 1096 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 0 0 0 0 0 0 28/09/22 20:39:51
14 1206152 3383044 1096 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 5535 17 0 5890 18 0 28/09/22 20:39:53
15 1206404 3382768 1096 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 0 0 0 0 0 0 28/09/22 20:39:54
16 1207664 3381508 1096 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 2850 10 0 3175 9 0 28/09/22 20:39:55
17 1209656 3379452 1096 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 1128 5 0 1169 4 0 28/09/22 20:39:56
18 1209348 3379760 1096 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 3011 10 0 2416 11 0 28/09/22 20:39:57
19 1208648 3380460 1096 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 935 3 0 965 3 0 28/09/22 20:39:58
20 1208364 3380744 1096 0 0 1992552 108280 6% 0.90 0.24 1.78 0.07 97.00 1155 5 0 1465 4 0 28/09/22 20:39:59
