ID CpuUsr CpuSys CpuGst CpuWait CpuPerc MinFlt MajFlt %MEM Threads Swap RSS Size Data Hora
1 1.00 0.00 0.00 0.00 1.00 0.00 0.00 37.25 69 0 2266744 3973148 30/09/22 00:20:03
2 1.00 1.00 0.00 0.00 2.00 0.00 0.00 37.25 69 0 2266744 3973148 30/09/22 00:20:05
3 1.00 0.00 0.00 0.00 1.00 0.00 0.00 37.25 69 0 2266744 3973148 30/09/22 00:20:07
4 1.00 0.00 0.00 0.00 1.00 0.00 0.00 37.25 69 0 2266744 3973148 30/09/22 00:20:09
5 2.00 1.00 0.00 0.00 3.00 0.00 0.00 37.25 69 0 2266744 3973148 30/09/22 00:20:11
6 1.00 0.00 0.00 0.00 1.00 0.00 0.00 37.25 69 0 2266744 3973148 30/09/22 00:20:13
7 1.00 0.00 0.00 0.00 1.00 0.00 0.00 37.25 69 0 2266744 3973148 30/09/22 00:20:15
8 0.00 0.00 0.00 0.00 0.00 0.00 0.00 37.25 69 0 2266744 3973148 30/09/22 00:20:17
9 1.00 0.00 0.00 0.00 1.00 0.00 0.00 37.25 69 0 2266744 3973148 30/09/22 00:20:19
10 1.00 1.00 0.00 0.00 2.00 0.00 0.00 37.25 69 0 2266744 3973148 30/09/22 00:20:21
11 1.00 0.00 0.00 0.00 1.00 0.00 0.00 37.25 69 0 2266744 3973148 30/09/22 00:20:23
12 2.00 0.00 0.00 0.00 2.00 1.00 0.00 37.25 69 0 2266744 3973148 30/09/22 00:20:25
13 9.90 4.95 0.00 0.00 14.85 565.35 0.00 37.27 70 0 2268000 3973148 30/09/22 00:20:28
14 27.00 6.00 0.00 0.00 33.00 52.00 0.00 37.13 72 0 2259352 3973148 30/09/22 00:20:30
15 27.00 9.00 0.00 0.00 36.00 44.00 0.00 37.00 72 0 2251188 3973148 30/09/22 00:20:32
16 27.00 8.00 0.00 0.00 35.00 0.00 0.00 36.86 72 0 2242908 3973148 30/09/22 00:20:34
17 17.00 3.00 0.00 0.00 20.00 342.00 0.00 36.77 72 0 2237400 3973148 30/09/22 00:20:36
18 35.00 5.00 0.00 0.00 40.00 57.00 0.00 36.62 72 0 2228324 3973148 30/09/22 00:20:38
19 33.00 9.00 0.00 0.00 42.00 24.00 0.00 36.48 72 0 2219676 3973148 30/09/22 00:20:40
20 15.00 3.00 0.00 0.00 18.00 6.00 0.00 36.38 72 0 2213868 3973148 30/09/22 00:20:42
21 25.00 7.00 0.00 0.00 32.00 50.00 0.00 36.26 72 0 2206436 3973148 30/09/22 00:20:44
22 21.00 5.00 0.00 0.00 26.00 224.00 0.00 36.19 72 0 2201984 3973148 30/09/22 00:20:46
23 32.00 4.00 0.00 0.00 36.00 0.00 0.00 36.03 73 0 2192472 3973148 30/09/22 00:20:48
24 18.00 4.00 0.00 0.00 22.00 97.00 0.00 35.94 73 0 2186308 3973148 30/09/22 00:20:50
25 34.00 5.00 0.00 0.00 39.00 0.00 0.00 35.77 73 0 2176504 3973148 30/09/22 00:20:52
26 23.76 5.94 0.00 0.00 29.70 205.94 0.00 35.68 73 0 2170724 3973148 30/09/22 00:20:54
27 34.00 8.00 0.00 0.00 42.00 0.00 0.00 35.55 73 0 2163304 3973148 30/09/22 00:20:56
28 33.00 9.00 0.00 0.00 42.00 0.00 0.00 35.43 73 0 2154804 3973148 30/09/22 00:20:58
29 15.00 7.00 0.00 0.00 22.00 111.00 0.00 35.32 73 0 2148824 3973148 30/09/22 00:21:00
30 32.00 2.00 0.00 0.00 34.00 42.00 0.00 35.26 73 0 2145512 3973148 30/09/22 00:21:02
31 21.00 6.00 0.00 0.00 27.00 721.00 0.00 35.21 73 0 2142624 3973148 30/09/22 00:21:04
32 13.00 6.00 0.00 0.00 19.00 319.00 0.00 35.13 73 0 2137396 3973148 30/09/22 00:21:06
33 37.00 10.00 0.00 0.00 47.00 59.00 0.00 35.02 73 0 2131044 3973148 30/09/22 00:21:08
34 27.00 5.00 0.00 0.00 32.00 0.00 0.00 34.90 73 0 2123732 3973148 30/09/22 00:21:10
35 37.00 9.00 0.00 0.00 46.00 120.00 0.00 34.82 73 0 2118616 3973148 30/09/22 00:21:12
36 35.00 7.00 0.00 0.00 42.00 0.00 0.00 34.66 73 0 2108696 3973148 30/09/22 00:21:14
37 19.00 4.00 0.00 0.00 23.00 170.00 0.00 34.59 73 0 2104620 3973148 30/09/22 00:21:16
38 31.00 6.00 0.00 0.00 37.00 4.00 0.00 34.44 72 0 2095568 3973148 30/09/22 00:21:18
39 47.00 8.00 0.00 0.00 55.00 576.00 0.00 34.34 72 0 2089428 3973148 30/09/22 00:21:20
40 18.00 6.00 0.00 0.00 24.00 778.00 0.00 34.44 72 0 2095436 3973148 30/09/22 00:21:22
41 29.00 6.00 0.00 0.00 35.00 8.00 0.00 34.30 72 0 2086388 3973148 30/09/22 00:21:25
42 46.00 9.00 0.00 0.00 55.00 294.00 0.00 34.19 72 0 2080184 3973148 30/09/22 00:21:27
43 33.00 4.00 0.00 0.00 37.00 0.00 0.00 34.02 72 0 2069832 3973148 30/09/22 00:21:29
44 16.00 9.00 0.00 0.00 25.00 374.00 0.00 34.02 72 0 2069852 3973148 30/09/22 00:21:31
45 38.00 8.00 0.00 0.00 46.00 369.00 0.00 33.91 72 0 2063140 3973148 30/09/22 00:21:33
46 34.00 7.00 0.00 0.00 41.00 678.00 0.00 33.85 72 0 2059540 3973148 30/09/22 00:21:35
47 29.00 5.00 0.00 0.00 34.00 366.00 0.00 33.78 72 0 2055352 3973148 30/09/22 00:21:37
48 31.00 5.00 0.00 0.00 36.00 84.00 0.00 33.66 72 0 2047936 3973148 30/09/22 00:21:39
49 32.00 9.00 0.00 0.00 41.00 335.00 0.00 33.69 72 0 2052044 3973148 30/09/22 00:21:41
50 41.00 10.00 0.00 0.00 51.00 600.00 0.00 33.63 72 0 2046032 3973148 30/09/22 00:21:43
51 16.00 3.00 0.00 0.00 19.00 694.00 0.00 33.56 72 0 2042116 3973148 30/09/22 00:21:45
