Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
42 2335248 2015888 1088 0 0 1992552 108280 6% 2.73 2.00 8.17 0.16 86.94 4840782 3343 0 75305 259 0 29/09/22 23:17:08
43 2336196 1986276 1088 0 0 1992552 108280 6% 2.74 2.00 8.19 0.16 86.91 4204983 2941 0 84732 271 0 29/09/22 23:17:09
44 2334856 1983340 1088 0 0 1992552 108280 6% 2.75 2.00 8.21 0.16 86.87 3216620 2265 0 70147 237 0 29/09/22 23:17:10
45 2335608 1979504 1088 0 0 1992552 108280 6% 2.76 2.01 8.23 0.16 86.84 3813347 2665 0 77702 248 0 29/09/22 23:17:11
46 2334400 1959140 1088 0 0 1992552 108280 6% 2.77 2.01 8.25 0.16 86.80 3770273 2582 0 47341 178 0 29/09/22 23:17:12
47 2335260 1954336 1088 0 0 1992552 108280 6% 2.78 2.02 8.27 0.16 86.77 3489177 2421 0 61123 195 0 29/09/22 23:17:14
48 2334536 1925348 1088 0 0 1992552 108280 6% 2.79 2.02 8.29 0.16 86.73 4024832 2788 0 69028 220 0 29/09/22 23:17:15
49 2333800 1921560 1088 0 0 1992552 108280 6% 2.80 2.03 8.31 0.16 86.69 4343121 2999 0 67493 244 0 29/09/22 23:17:16
50 2334632 1916284 1088 0 0 1992552 108280 6% 2.81 2.03 8.33 0.16 86.65 3818354 2656 0 67636 213 0 29/09/22 23:17:17
51 2333592 1913292 1088 0 0 1992552 108280 6% 2.83 2.04 8.35 0.16 86.61 3958609 2760 0 75468 241 0 29/09/22 23:17:18
52 2335544 1883776 1088 0 0 1992552 108280 6% 2.84 2.04 8.37 0.16 86.57 3839273 2634 0 52487 186 0 29/09/22 23:17:19
