ID CpuUsr CpuSys CpuGst CpuWait CpuPerc MinFlt MajFlt %MEM Threads Swap RSS Size Data Hora
1 1.00 0.00 0.00 0.00 1.00 0.00 0.00 1.83 62 0 111180 1735136 05/10/22 22:57:28
2 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.83 62 0 111180 1735136 05/10/22 22:57:30
3 1.00 0.00 0.00 0.00 1.00 1.00 0.00 1.83 62 0 111180 1735136 05/10/22 22:57:32
4 1.00 0.00 0.00 0.00 1.00 0.00 0.00 1.83 62 0 111180 1735136 05/10/22 22:57:34
5 0.99 0.99 0.00 0.00 1.98 0.99 0.00 1.83 62 0 111180 1735136 05/10/22 22:57:37
6 0.00 1.00 0.00 0.00 1.00 0.00 0.00 1.83 62 0 111180 1735136 05/10/22 22:57:39
7 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.83 62 0 111180 1735136 05/10/22 22:57:41
8 0.00 1.00 0.00 0.00 1.00 0.00 0.00 1.83 62 0 111180 1735136 05/10/22 22:57:43
9 0.00 0.99 0.00 0.00 0.99 0.00 0.00 1.83 62 0 111180 1735136 05/10/22 22:57:45
10 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.83 62 0 111180 1735136 05/10/22 22:57:47
11 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.83 62 0 111180 1735136 05/10/22 22:57:49
12 0.00 2.00 0.00 0.00 2.00 11.00 0.00 1.83 62 0 111180 1735136 05/10/22 22:57:51
13 13.00 18.00 0.00 0.00 31.00 9777.00 0.00 2.43 77 0 147972 1894052 05/10/22 22:57:53
14 19.00 10.00 0.00 0.00 29.00 3888.00 0.00 2.93 78 0 178684 1916488 05/10/22 22:57:55
15 21.00 7.00 0.00 0.00 28.00 766.00 0.00 3.33 78 0 202656 1937532 05/10/22 22:57:57
16 25.00 6.00 0.00 0.00 31.00 5891.00 0.00 4.01 78 0 243796 1978124 05/10/22 22:57:59
17 27.00 10.00 0.00 0.00 37.00 9870.00 0.00 4.68 78 0 285208 2019556 05/10/22 22:58:01
18 13.00 9.00 0.00 0.00 22.00 38.00 0.00 4.69 77 0 285488 2019556 05/10/22 22:58:03
19 22.00 13.00 0.00 0.00 35.00 518.00 0.00 4.80 77 0 292144 2024492 05/10/22 22:58:05
20 16.00 9.00 0.00 0.00 25.00 76.00 0.00 4.81 77 0 292968 2024492 05/10/22 22:58:07
21 24.00 7.00 0.00 0.00 31.00 1499.00 0.00 5.04 79 0 306916 2038648 05/10/22 22:58:09
22 21.00 11.00 0.00 0.00 32.00 3861.00 0.00 5.49 79 0 334340 2066584 05/10/22 22:58:11
23 23.00 14.00 0.00 0.00 37.00 4955.00 0.00 5.83 79 0 354888 2086328 05/10/22 22:58:13
24 21.00 13.00 0.00 0.00 34.00 795.00 0.00 5.89 79 0 358820 2090240 05/10/22 22:58:15
25 27.00 13.00 0.00 0.00 40.00 7446.00 0.00 6.55 79 0 398272 2128324 05/10/22 22:58:17
