Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 2363632 1954824 1084 0 0 1992552 108280 6% 5.05 1.95 11.75 0.35 80.89 944 3 0 599 2 0 29/09/22 23:25:16
2 2363660 1954792 1084 0 0 1992552 108280 6% 5.05 1.95 11.75 0.35 80.90 1658 6 0 2087 6 0 29/09/22 23:25:17
3 2365048 1953404 1084 0 0 1992552 108280 6% 5.05 1.95 11.76 0.35 80.89 935 5 0 1600 3 0 29/09/22 23:25:18
4 2364232 1954216 1084 0 0 1992552 108280 6% 5.05 1.95 11.76 0.35 80.89 1225 4 0 876 4 0 29/09/22 23:25:20
5 2365012 1953436 1084 0 0 1992552 108280 6% 5.05 1.95 11.75 0.35 80.90 3548 14 0 3982 14 0 29/09/22 23:25:21
6 2364188 1954256 1084 0 0 1992552 108280 6% 5.04 1.95 11.75 0.35 80.90 3970 9 0 2651 11 0 29/09/22 23:25:22
7 2364692 1953752 1084 0 0 1992552 108280 6% 5.04 1.95 11.76 0.35 80.89 1055 6 0 1772 3 0 29/09/22 23:25:23
8 2364108 1954336 1084 0 0 1992552 108280 6% 5.04 1.95 11.78 0.35 80.88 1106 3 0 1408 5 0 29/09/22 23:25:24
9 2364912 1953532 1084 0 0 1992552 108280 6% 5.04 1.95 11.77 0.35 80.88 1182 7 0 1268 3 0 29/09/22 23:25:25
10 2364456 1953988 1084 0 0 1992552 108280 6% 5.04 1.95 11.77 0.35 80.89 1480 4 0 1035 4 0 29/09/22 23:25:26
11 2365000 1953444 1084 0 0 1992552 108280 6% 5.04 1.95 11.77 0.35 80.90 2128 8 0 3016 8 0 29/09/22 23:25:27
12 2364204 1954240 1084 0 0 1992552 108280 6% 5.03 1.95 11.76 0.35 80.90 504 3 0 1066 2 0 29/09/22 23:25:28
13 2365008 1953436 1084 0 0 1992552 108280 6% 5.03 1.95 11.77 0.35 80.90 1591 5 0 1406 5 0 29/09/22 23:25:29
14 2364276 1954168 1084 0 0 1992552 108280 6% 5.03 1.95 11.76 0.35 80.90 1105 7 0 1188 7 0 29/09/22 23:25:30
15 2364984 1953460 1084 0 0 1992552 108280 6% 5.03 1.95 11.76 0.35 80.91 5688 17 0 5510 19 0 29/09/22 23:25:31
16 2364088 1954356 1084 0 0 1992552 108280 6% 5.03 1.95 11.78 0.35 80.89 2502 5 0 743 4 0 29/09/22 23:25:32
17 2364756 1953688 1084 0 0 1992552 108280 6% 5.03 1.95 11.77 0.35 80.90 1724 7 0 2640 7 0 29/09/22 23:25:33
18 2364088 1954356 1084 0 0 1992552 108280 6% 5.03 1.95 11.79 0.35 80.88 869 4 0 1066 2 0 29/09/22 23:25:35
19 2364756 1953688 1084 0 0 1992552 108280 6% 5.03 1.95 11.78 0.35 80.89 1860 6 0 1146 6 0 29/09/22 23:25:36
20 2363952 1954492 1084 0 0 1992552 108280 6% 5.02 1.95 11.78 0.34 80.89 1876 7 0 2065 5 0 29/09/22 23:25:37
21 2364756 1953688 1084 0 0 1992552 108280 6% 5.02 1.95 11.78 0.34 80.90 1227 4 0 1553 5 0 29/09/22 23:25:38
22 2363920 1954524 1084 0 0 1992552 108280 6% 5.02 1.95 11.77 0.34 80.91 935 5 0 1600 3 0 29/09/22 23:25:39
23 2364860 1953584 1084 0 0 1992552 108280 6% 5.02 1.95 11.78 0.34 80.90 1161 3 0 876 4 0 29/09/22 23:25:40
24 2364292 1954152 1084 0 0 1992552 108280 6% 5.02 1.95 11.78 0.34 80.90 3136 15 0 2879 12 0 29/09/22 23:25:41
25 2364788 1953656 1084 0 0 1992552 108280 6% 5.02 1.95 11.77 0.34 80.91 4147 8 0 2097 10 0 29/09/22 23:25:42
26 2364756 1953688 1084 0 0 1992552 108280 6% 5.02 1.95 11.77 0.34 80.91 4899 16 0 6395 17 0 29/09/22 23:25:43
27 2364288 1952240 1084 0 0 1992552 108280 6% 5.02 1.95 11.77 0.34 80.91 1448149 1100 0 1461907 1117 0 29/09/22 23:25:44
28 2364452 1950784 1084 0 0 1992552 108280 6% 5.02 1.95 11.78 0.34 80.90 2332854 1775 0 2353805 1786 0 29/09/22 23:25:45
29 2360700 1952100 1084 0 0 1992552 108280 6% 5.02 1.95 11.78 0.34 80.89 2428149 1841 0 2396753 1816 0 29/09/22 23:25:46
30 2357968 1952248 1084 0 0 1992552 108280 6% 5.03 1.96 11.79 0.35 80.87 4218799 3189 0 4213107 3165 0 29/09/22 23:25:47
31 2352384 1953476 1084 0 0 1992552 108280 6% 5.04 1.96 11.81 0.35 80.84 4440062 3328 0 4480531 3355 0 29/09/22 23:25:49
32 2348596 1952720 1084 0 0 1992552 108280 6% 5.05 1.96 11.83 0.35 80.81 4340476 3252 0 4326352 3236 0 29/09/22 23:25:50
33 2342644 1932264 1084 0 0 1992552 108280 6% 5.07 1.97 11.84 0.35 80.77 3835290 2870 0 3798621 2845 0 29/09/22 23:25:51
34 2340080 1930764 1084 0 0 1992552 108280 6% 5.08 1.97 11.85 0.35 80.74 4345207 3284 0 4384294 3296 0 29/09/22 23:25:52
35 2333728 1932576 1084 0 0 1992552 108280 6% 5.09 1.97 11.87 0.35 80.71 4043289 3045 0 4081822 3056 0 29/09/22 23:25:53
36 2330296 1922668 1084 0 0 1992552 108280 6% 5.10 1.98 11.89 0.35 80.68 4419582 3335 0 4427644 3323 0 29/09/22 23:25:54
37 2323648 1924680 1084 0 0 1992552 108280 6% 5.11 1.98 11.90 0.35 80.65 4164628 3096 0 4195679 3097 0 29/09/22 23:25:55
38 2320176 1923732 1084 0 0 1992552 108280 6% 5.12 1.98 11.92 0.35 80.62 3693736 2793 0 3727262 2799 0 29/09/22 23:25:56
39 2316556 1905124 1084 0 0 1992552 108280 6% 5.13 1.99 11.94 0.35 80.59 3933972 2955 0 3966263 2968 0 29/09/22 23:25:57
40 2311148 1906340 1084 0 0 1992552 108280 6% 5.14 1.99 11.96 0.35 80.56 3955570 3014 0 4074191 3082 0 29/09/22 23:25:59
41 2307252 1896712 1084 0 0 1992552 108280 6% 5.15 1.99 11.97 0.35 80.53 3965433 3037 0 4265665 3222 0 29/09/22 23:26:00
42 2302200 1887888 1084 0 0 1992552 108280 6% 5.16 2.00 11.99 0.35 80.50 3631658 2744 0 3665530 2765 0 29/09/22 23:26:01
43 2300108 1886100 1084 0 0 1992552 108280 6% 5.17 2.00 12.01 0.35 80.47 4173442 3059 0 4158900 3060 0 29/09/22 23:26:02
44 2295808 1886244 1084 0 0 1992552 108280 6% 5.18 2.00 12.02 0.35 80.44 4094248 3105 0 4134239 3116 0 29/09/22 23:26:03
45 2291748 1885972 1084 0 0 1992552 108280 6% 5.19 2.01 12.04 0.35 80.41 4192591 3181 0 4230991 3195 0 29/09/22 23:26:04
46 2286436 1877740 1084 0 0 1992552 108280 6% 5.20 2.01 12.05 0.35 80.38 4689087 3381 0 4714216 3407 0 29/09/22 23:26:05
47 2287388 1862976 1084 0 0 1992552 108280 6% 5.20 2.01 12.06 0.35 80.37 4233926 3061 0 2685130 2047 0 29/09/22 23:26:06
48 2286912 1858780 1084 0 0 1992552 108280 6% 5.21 2.01 12.07 0.35 80.35 4119438 3110 0 4106029 3089 0 29/09/22 23:26:07
49 2283264 1857992 1084 0 0 1992552 108280 6% 5.22 2.02 12.09 0.35 80.32 4372435 3212 0 4339008 3177 0 29/09/22 23:26:08
50 2279408 1857436 1084 0 0 1992552 108280 6% 5.22 2.02 12.10 0.35 80.29 4311869 3252 0 4353637 3262 0 29/09/22 23:26:10
51 2275332 1838336 1084 0 0 1992552 108280 6% 5.24 2.02 12.11 0.35 80.26 4281534 3242 0 4288281 3231 0 29/09/22 23:26:11
52 2271528 1837732 1084 0 0 1992552 108280 6% 5.25 2.03 12.13 0.36 80.23 3920165 2868 0 4012786 2925 0 29/09/22 23:26:12
53 2267456 1837784 1084 0 0 1992552 108280 6% 5.25 2.03 12.14 0.36 80.21 2809827 2153 0 2843258 2174 0 29/09/22 23:26:13
54 2265672 1827744 1084 0 0 1992552 108280 6% 5.26 2.03 12.16 0.36 80.19 4462875 3195 0 4480386 3202 0 29/09/22 23:26:14
55 2263024 1825888 1084 0 0 1992552 108280 6% 5.26 2.03 12.17 0.36 80.17 4287463 3249 0 4330596 3257 0 29/09/22 23:26:15
56 2259000 1816308 1084 0 0 1992552 108280 6% 5.28 2.04 12.18 0.36 80.14 4314596 3218 0 4343272 3235 0 29/09/22 23:26:16
57 2254272 1816504 1084 0 0 1992552 108280 6% 5.29 2.04 12.20 0.36 80.11 2543444 1963 0 2573981 1973 0 29/09/22 23:26:17
58 2252380 1815816 1084 0 0 1992552 108280 6% 5.29 2.04 12.21 0.36 80.09 5916454 4063 0 5877249 4048 0 29/09/22 23:26:18
59 2252504 1800812 1084 0 0 1992552 108280 6% 5.30 2.04 12.21 0.36 80.09 3985979 3049 0 4046531 3053 0 29/09/22 23:26:19
60 2249224 1800048 1084 0 0 1992552 108280 6% 5.30 2.04 12.23 0.36 80.06 4253757 2937 0 4299621 2983 0 29/09/22 23:26:20
61 2248996 1795392 1084 0 0 1992552 108280 6% 5.31 2.05 12.23 0.36 80.05 4151656 3119 0 4147597 3109 0 29/09/22 23:26:22
62 2245588 1792416 1084 0 0 1992552 108280 6% 5.32 2.05 12.24 0.36 80.02 4395545 3298 0 4766117 3519 0 29/09/22 23:26:23
63 2240720 1769076 1084 0 0 1992552 108280 6% 5.33 2.05 12.26 0.36 79.99 3610324 2764 0 3645926 2777 0 29/09/22 23:26:24
64 2236888 1769192 1084 0 0 1992552 108280 6% 5.34 2.05 12.28 0.36 79.96 3957160 3027 0 3963207 2997 0 29/09/22 23:26:25
65 2231992 1769700 1084 0 0 1992552 108280 6% 5.35 2.06 12.29 0.36 79.93 1821942 1425 0 1916129 1476 0 29/09/22 23:26:26
66 2229168 1752716 1084 0 0 1992552 108280 6% 5.35 2.06 12.30 0.36 79.92 4112138 3165 0 6022193 4394 0 29/09/22 23:26:27
67 2226220 1740640 1084 0 0 1992552 108280 6% 5.36 2.06 12.32 0.36 79.89 4144704 3153 0 4182962 3171 0 29/09/22 23:26:28
68 2220720 1741688 1084 0 0 1992552 108280 6% 5.38 2.06 12.33 0.37 79.86 4072090 3081 0 4110708 3095 0 29/09/22 23:26:29
69 2217864 1740188 1084 0 0 1992552 108280 6% 5.39 2.06 12.35 0.37 79.83 3448635 2612 0 3530458 2651 0 29/09/22 23:26:30
70 2213104 1732292 1084 0 0 1992552 108280 6% 5.39 2.07 12.36 0.37 79.80 4761599 3309 0 4723943 3296 0 29/09/22 23:26:32
71 2216256 1724344 1084 0 0 1992552 108280 6% 5.40 2.07 12.37 0.37 79.79 4203947 3207 0 4207554 3183 0 29/09/22 23:26:33
72 2210764 1725564 1084 0 0 1992552 108280 6% 5.41 2.07 12.38 0.37 79.77 2544353 1930 0 2464702 1869 0 29/09/22 23:26:34
73 2210384 1723492 1084 0 0 1992552 108280 6% 5.41 2.07 12.39 0.37 79.75 4644463 3424 0 5550523 3995 0 29/09/22 23:26:35
74 2209944 1691040 1084 0 0 1992552 108280 6% 5.42 2.08 12.40 0.37 79.73 3719065 2802 0 3751483 2811 0 29/09/22 23:26:36
75 2207092 1690112 1084 0 0 1992552 108280 6% 5.43 2.08 12.42 0.37 79.70 4284820 3260 0 4330970 3259 0 29/09/22 23:26:37
76 2201264 1691560 1084 0 0 1992552 108280 6% 5.44 2.08 12.44 0.37 79.67 4099699 3098 0 4136167 3106 0 29/09/22 23:26:38
77 2197892 1675928 1084 0 0 1992552 108280 6% 5.45 2.08 12.45 0.37 79.64 3076354 2392 0 3148902 2423 0 29/09/22 23:26:39
78 2196352 1674280 1084 0 0 1992552 108280 6% 5.46 2.09 12.47 0.37 79.61 4542253 3345 0 4574935 3363 0 29/09/22 23:26:40
79 2195904 1670140 1084 0 0 1992552 108280 6% 5.46 2.09 12.48 0.37 79.59 4032455 3074 0 4056753 3073 0 29/09/22 23:26:41
80 2191540 1670360 1084 0 0 1992552 108280 6% 5.47 2.09 12.50 0.37 79.56 3848745 2682 0 3057620 2161 0 29/09/22 23:26:42
81 2190096 1667780 1084 0 0 1992552 108280 6% 5.48 2.09 12.50 0.37 79.55 4412184 3355 0 4433839 3337 0 29/09/22 23:26:43
82 2187244 1666092 1084 0 0 1992552 108280 6% 5.49 2.10 12.52 0.37 79.52 4292977 3243 0 4373625 3272 0 29/09/22 23:26:45
83 2181776 1658304 1084 0 0 1992552 108280 6% 5.50 2.10 12.53 0.37 79.49 2629104 1962 0 2887305 2130 0 29/09/22 23:26:46
84 2184572 1643692 1084 0 0 1992552 108280 6% 5.51 2.10 12.55 0.37 79.47 5618729 4048 0 5669364 4097 0 29/09/22 23:26:47
85 2184492 1638072 1084 0 0 1992552 108280 6% 5.51 2.10 12.56 0.37 79.44 4135609 3115 0 4121413 3096 0 29/09/22 23:26:48
