Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 2082924 1955680 1096 0 0 1992552 108280 6% 2.62 0.79 4.78 0.16 91.65 1105 4 0 981 3 0 28/09/22 21:57:24
2 2083316 1955292 1096 0 0 1992552 108280 6% 2.62 0.79 4.78 0.16 91.65 1001 4 0 1470 4 0 28/09/22 21:57:25
3 2083212 1955396 1096 0 0 1992552 108280 6% 2.62 0.79 4.78 0.16 91.65 697 3 0 642 3 0 28/09/22 21:57:26
4 2084504 1954104 1096 0 0 1992552 108280 6% 2.62 0.79 4.78 0.16 91.65 1497 6 0 1351 7 0 28/09/22 21:57:27
5 2083416 1955192 1096 0 0 1992552 108280 6% 2.62 0.79 4.78 0.16 91.65 2456 7 0 2032 7 0 28/09/22 21:57:28
6 2083772 1954836 1096 0 0 1992552 108280 6% 2.62 0.79 4.78 0.16 91.65 2596 8 0 2281 7 0 28/09/22 21:57:29
7 2084536 1954072 1096 0 0 1992552 108280 6% 2.62 0.79 4.78 0.16 91.65 935 3 0 965 3 0 28/09/22 21:57:30
8 2083788 1954820 1096 0 0 1992552 108280 6% 2.62 0.79 4.78 0.16 91.65 1089 4 0 965 3 0 28/09/22 21:57:31
9 2084504 1954104 1096 0 0 1992552 108280 6% 2.62 0.79 4.78 0.16 91.65 4456 13 0 4929 15 0 28/09/22 21:57:32
10 2083828 1954780 1096 0 0 1992552 108280 6% 2.62 0.79 4.78 0.16 91.65 1105 4 0 981 3 0 28/09/22 21:57:33
11 2084340 1954268 1096 0 0 1992552 108280 6% 2.62 0.79 4.78 0.16 91.65 1002 4 0 1467 4 0 28/09/22 21:57:34
12 2083796 1954812 1096 0 0 1992552 108280 6% 2.62 0.79 4.78 0.16 91.65 1089 4 0 965 3 0 28/09/22 21:57:35
13 2084316 1954292 1096 0 0 1992552 108280 6% 2.62 0.79 4.78 0.16 91.65 1537 7 0 1555 8 0 28/09/22 21:57:37
14 2083480 1955128 1096 0 0 1992552 108280 6% 2.62 0.79 4.78 0.16 91.65 2608 8 0 2033 7 0 28/09/22 21:57:38
15 2084248 1954356 1096 0 0 1992552 108280 6% 2.62 0.79 4.78 0.16 91.65 3345 9 0 2741 9 0 28/09/22 21:57:39
16 2083476 1955128 1096 0 0 1992552 108280 6% 2.62 0.79 4.78 0.16 91.65 1056 4 0 965 3 0 28/09/22 21:57:40
