ID CpuUsr CpuSys CpuGst CpuWait CpuPerc MinFlt MajFlt %MEM Threads Swap RSS Size Data Hora
1 1.00 1.00 0.00 0.00 2.00 0.00 0.00 36.08 67 0 2195200 3847216 29/09/22 23:16:26
2 0.00 0.00 0.00 0.00 0.00 0.00 0.00 36.08 67 0 2195200 3847216 29/09/22 23:16:28
3 0.00 0.00 0.00 0.00 0.00 0.00 0.00 36.08 67 0 2195200 3847216 29/09/22 23:16:30
4 1.00 0.00 0.00 0.00 1.00 0.00 0.00 36.08 67 0 2195200 3847216 29/09/22 23:16:32
5 1.00 1.00 0.00 0.00 2.00 0.00 0.00 36.08 67 0 2195200 3847216 29/09/22 23:16:34
6 1.00 0.00 0.00 0.00 1.00 0.00 0.00 36.08 67 0 2195200 3847216 29/09/22 23:16:36
7 0.00 0.00 0.00 0.00 0.00 0.00 0.00 36.08 68 0 2195200 3847216 29/09/22 23:16:38
8 0.00 0.00 0.00 0.00 0.00 0.00 0.00 36.08 68 0 2195200 3847216 29/09/22 23:16:40
9 5.00 0.00 0.00 0.00 5.00 0.00 0.00 36.08 69 0 2195200 3848244 29/09/22 23:16:42
10 1.00 0.00 0.00 0.00 1.00 2.00 0.00 36.08 69 0 2195200 3848244 29/09/22 23:16:44
11 32.67 18.81 0.00 0.00 51.49 467.33 0.00 36.10 84 0 2196528 3946596 29/09/22 23:16:46
12 24.00 10.00 0.00 0.00 34.00 2.00 0.00 36.09 84 0 2196060 3946596 29/09/22 23:16:48
13 23.00 10.00 0.00 0.00 33.00 7.00 0.00 36.08 85 0 2195364 3954792 29/09/22 23:16:50
14 26.00 6.00 0.00 0.00 32.00 76.00 0.00 36.07 85 0 2194848 3954792 29/09/22 23:16:52
15 24.00 12.00 0.00 0.00 36.00 2.00 0.00 36.06 85 0 2194352 3954792 29/09/22 23:16:54
16 27.00 9.00 0.00 0.00 36.00 1.00 0.00 36.05 85 0 2193792 3954792 29/09/22 23:16:56
17 15.00 9.00 0.00 0.00 24.00 13.00 0.00 36.05 85 0 2193228 3954792 29/09/22 23:16:58
18 25.00 11.00 0.00 0.00 36.00 6.00 0.00 36.04 85 0 2192680 3954792 29/09/22 23:17:00
19 32.00 5.00 0.00 0.00 37.00 2.00 0.00 36.03 85 0 2192092 3954792 29/09/22 23:17:03
20 30.00 8.00 0.00 0.00 38.00 0.00 0.00 36.02 85 0 2191412 3954792 29/09/22 23:17:05
21 29.00 8.00 0.00 0.00 37.00 5.00 0.00 36.00 85 0 2190444 3954792 29/09/22 23:17:07
22 36.00 7.00 0.00 0.00 43.00 87.00 0.00 36.00 85 0 2190292 3954792 29/09/22 23:17:09
23 20.00 4.00 0.00 0.00 24.00 0.00 0.00 35.99 85 0 2189832 3954792 29/09/22 23:17:11
24 20.00 9.00 0.00 0.00 29.00 0.00 0.00 35.98 86 0 2189284 3962988 29/09/22 23:17:13
25 23.00 11.00 0.00 0.00 34.00 0.00 0.00 35.98 86 0 2188968 3962988 29/09/22 23:17:15
26 23.00 11.00 0.00 0.00 34.00 76.00 0.00 35.97 86 0 2188640 3962988 29/09/22 23:17:17
27 24.00 8.00 0.00 0.00 32.00 4.00 0.00 35.99 86 0 2189644 3962988 29/09/22 23:17:19
28 37.00 12.00 0.00 0.00 49.00 366.00 0.00 35.99 86 0 2189768 3962988 29/09/22 23:17:21
29 17.00 6.00 0.00 0.00 23.00 15.00 0.00 35.99 86 0 2189916 3962988 29/09/22 23:17:23
30 32.00 14.00 0.00 0.00 46.00 1595.00 0.00 36.09 86 0 2196096 3962988 29/09/22 23:17:25
31 28.00 8.00 0.00 0.00 36.00 0.00 0.00 36.08 86 0 2195328 3962988 29/09/22 23:17:27
32 13.00 6.00 0.00 0.00 19.00 0.00 0.00 36.09 86 0 2195712 3962988 29/09/22 23:17:29
33 28.00 8.00 0.00 0.00 36.00 101.00 0.00 36.08 86 0 2195152 3962988 29/09/22 23:17:31
34 23.00 8.00 0.00 0.00 31.00 18.00 0.00 36.09 86 0 2195724 3962988 29/09/22 23:17:33
35 19.00 9.00 0.00 0.00 28.00 0.00 0.00 36.09 86 0 2195932 3962988 29/09/22 23:17:35
36 28.00 8.00 0.00 0.00 36.00 1.00 0.00 36.08 86 0 2195256 3962988 29/09/22 23:17:37
37 24.00 16.00 0.00 0.00 40.00 343.00 0.00 36.09 86 0 2195896 3962988 29/09/22 23:17:39
38 29.00 13.00 0.00 0.00 42.00 200.00 0.00 36.08 86 0 2195412 3962988 29/09/22 23:17:41
39 37.00 15.00 0.00 0.00 52.00 2.00 0.00 36.07 86 0 2194612 3962988 29/09/22 23:17:43
40 26.00 7.00 0.00 0.00 33.00 13.00 0.00 36.07 86 0 2194732 3962988 29/09/22 23:17:45
41 30.69 9.90 0.00 0.00 40.59 0.99 0.00 36.07 86 0 2194732 3962988 29/09/22 23:17:47
42 29.00 10.00 0.00 0.00 39.00 0.00 0.00 36.06 86 0 2193900 3962988 29/09/22 23:17:49
43 23.00 15.00 0.00 0.00 38.00 623.00 0.00 36.08 86 0 2195440 3962988 29/09/22 23:17:51
44 27.00 11.00 0.00 0.00 38.00 0.00 0.00 36.07 86 0 2194452 3962988 29/09/22 23:17:53
45 24.00 10.00 0.00 0.00 34.00 259.00 0.00 36.08 85 0 2195200 3962988 29/09/22 23:17:55
46 28.00 11.00 0.00 0.00 39.00 266.00 0.00 36.08 85 0 2195208 3962988 29/09/22 23:17:57
47 29.00 12.00 0.00 0.00 41.00 0.00 0.00 36.08 85 0 2195076 3962988 29/09/22 23:18:00
48 7.00 6.00 0.00 0.00 13.00 146.00 0.00 36.10 85 0 2196380 3962988 29/09/22 23:18:02
49 28.00 7.00 0.00 0.00 35.00 0.00 0.00 36.09 85 0 2195876 3962988 29/09/22 23:18:04
50 15.00 8.00 0.00 0.00 23.00 229.00 0.00 36.09 85 0 2196052 3962988 29/09/22 23:18:06
51 30.00 8.00 0.00 0.00 38.00 0.00 0.00 36.08 85 0 2195316 3962988 29/09/22 23:18:08
