Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 2408568 1871388 1084 0 0 1992552 108280 6% 5.78 1.98 14.52 0.39 77.34 1762 7 0 1466 9 0 30/09/22 00:20:01
2 2408692 1871260 1084 0 0 1992552 108280 6% 5.77 1.98 14.51 0.39 77.34 5454 17 0 6106 18 0 30/09/22 00:20:02
3 2408552 1871388 1084 0 0 1992552 108280 6% 5.77 1.98 14.51 0.39 77.34 657 2 0 436 2 0 30/09/22 00:20:03
4 2409840 1870096 1084 0 0 1992552 108280 6% 5.77 1.98 14.51 0.39 77.35 1371 5 0 1502 4 0 30/09/22 00:20:04
5 2409116 1870820 1084 0 0 1992552 108280 6% 5.77 1.98 14.51 0.39 77.35 2699 5 0 634 5 0 30/09/22 00:20:05
6 2409952 1869984 1084 0 0 1992552 108280 6% 5.77 1.98 14.50 0.39 77.35 3143 12 0 3445 10 0 30/09/22 00:20:06
7 2409068 1870868 1084 0 0 1992552 108280 6% 5.77 1.98 14.50 0.39 77.36 809 4 0 969 3 0 30/09/22 00:20:07
8 2409952 1869984 1084 0 0 1992552 108280 6% 5.77 1.98 14.50 0.39 77.36 1908 6 0 1938 6 0 30/09/22 00:20:08
9 2409352 1870584 1084 0 0 1992552 108280 6% 5.77 1.98 14.50 0.39 77.36 556 3 0 533 1 0 30/09/22 00:20:09
10 2409960 1869976 1084 0 0 1992552 108280 6% 5.77 1.98 14.49 0.39 77.37 2139 9 0 2671 11 0 30/09/22 00:20:10
11 2409936 1870000 1084 0 0 1992552 108280 6% 5.77 1.98 14.49 0.39 77.37 4061 13 0 4389 11 0 30/09/22 00:20:11
12 2409472 1870464 1084 0 0 1992552 108280 6% 5.77 1.98 14.49 0.39 77.37 1538 5 0 1956 6 0 30/09/22 00:20:12
13 2409904 1870032 1084 0 0 1992552 108280 6% 5.77 1.98 14.49 0.39 77.38 989 5 0 1066 2 0 30/09/22 00:20:13
14 2409384 1870552 1084 0 0 1992552 108280 6% 5.76 1.98 14.48 0.39 77.38 3291 7 0 1074 7 0 30/09/22 00:20:14
15 2410016 1869920 1084 0 0 1992552 108280 6% 5.76 1.98 14.48 0.39 77.38 1128 7 0 1945 4 0 30/09/22 00:20:16
16 2409132 1870804 1084 0 0 1992552 108280 6% 5.76 1.98 14.48 0.39 77.39 2740 8 0 2475 9 0 30/09/22 00:20:17
17 2409864 1870072 1084 0 0 1992552 108280 6% 5.76 1.98 14.48 0.39 77.39 1373 5 0 1504 4 0 30/09/22 00:20:18
18 2409060 1870876 1084 0 0 1992552 108280 6% 5.76 1.98 14.47 0.39 77.39 657 2 0 438 2 0 30/09/22 00:20:19
19 2409840 1870096 1084 0 0 1992552 108280 6% 5.76 1.98 14.47 0.39 77.40 1439 6 0 2181 5 0 30/09/22 00:20:20
20 2409092 1870844 1084 0 0 1992552 108280 6% 5.76 1.98 14.47 0.39 77.40 4160 12 0 4411 14 0 30/09/22 00:20:21
21 2409872 1870064 1084 0 0 1992552 108280 6% 5.76 1.98 14.47 0.39 77.40 1976 7 0 2502 7 0 30/09/22 00:20:22
22 2409376 1870560 1084 0 0 1992552 108280 6% 5.76 1.98 14.46 0.39 77.41 558 3 0 533 1 0 30/09/22 00:20:23
23 2409956 1869976 1084 0 0 1992552 108280 6% 5.76 1.98 14.46 0.39 77.41 1472 4 0 1409 5 0 30/09/22 00:20:24
24 2409500 1870432 1084 0 0 1992552 108280 6% 5.76 1.98 14.46 0.39 77.41 4353 12 0 3008 11 0 30/09/22 00:20:25
25 2409952 1869968 1084 0 0 1992552 108280 6% 5.76 1.98 14.46 0.39 77.41 3770 13 0 4746 13 0 30/09/22 00:20:26
26 2409052 1870868 1084 0 0 1992552 108280 6% 5.76 1.98 14.46 0.39 77.42 7165841 4797 0 6479385 4374 0 30/09/22 00:20:27
27 2410836 1861096 1084 0 0 1992552 108280 6% 5.76 1.98 14.46 0.39 77.42 4272243 3215 0 4890676 3609 0 30/09/22 00:20:29
28 2406076 1860592 1084 0 0 1992552 108280 6% 5.76 1.98 14.46 0.39 77.40 4366189 3288 0 4407626 3294 0 30/09/22 00:20:30
29 2400040 1858040 1084 0 0 1992552 108280 6% 5.77 1.98 14.47 0.39 77.39 4076697 3083 0 4130639 3110 0 30/09/22 00:20:31
30 2396080 1848368 1084 0 0 1992552 108280 6% 5.77 1.99 14.48 0.39 77.37 4061225 3079 0 4393618 3284 0 30/09/22 00:20:32
31 2390912 1842724 1084 0 0 1992552 108280 6% 5.78 1.99 14.49 0.39 77.36 4094620 3100 0 4364898 3263 0 30/09/22 00:20:33
