Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
32 2056312 2064876 1092 0 0 1992552 108280 6% 0.85 0.53 3.61 0.06 94.95 2020 7 0 1938 6 0 28/09/22 21:25:35
1 2056772 2064412 1092 0 0 1992552 108280 6% 0.85 0.53 3.61 0.06 94.95 2020 7 0 1938 6 0 28/09/22 21:25:35
33 2056808 2064380 1092 0 0 1992552 108280 6% 0.85 0.53 3.61 0.06 94.95 408 2 0 386 4 0 28/09/22 21:25:36
2 2056920 2064268 1092 0 0 1992552 108280 6% 0.85 0.53 3.61 0.06 94.95 1974 6 0 722 7 0 28/09/22 21:25:37
34 2056784 2064404 1092 0 0 1992552 108280 6% 0.85 0.53 3.61 0.06 94.95 3652 11 0 3367 11 0 28/09/22 21:25:37
3 2056784 2064404 1092 0 0 1992552 108280 6% 0.85 0.53 3.61 0.06 94.95 2853 9 0 3301 10 0 28/09/22 21:25:38
35 2056864 2064324 1092 0 0 1992552 108280 6% 0.85 0.53 3.61 0.06 94.95 0 0 0 0 0 0 28/09/22 21:25:39
4 2056864 2064324 1092 0 0 1992552 108280 6% 0.85 0.53 3.61 0.06 94.95 120 1 0 0 0 0 28/09/22 21:25:39
5 2056896 2064292 1092 0 0 1992552 108280 6% 0.85 0.53 3.61 0.06 94.95 1964 7 0 1938 6 0 28/09/22 21:25:40
6 2056168 2064996 1092 0 0 1992552 108280 6% 0.85 0.53 3.61 0.06 94.95 120 1 0 0 0 0 28/09/22 21:25:41
7 2056256 2064908 1092 0 0 1992552 108280 6% 0.85 0.53 3.61 0.06 94.95 1900 6 0 1938 6 0 28/09/22 21:25:42
8 2056264 2064900 1092 0 0 1992552 108280 6% 0.85 0.53 3.61 0.06 94.95 2065 6 0 1396 6 0 28/09/22 21:25:43
9 2056208 2064956 1092 0 0 1992552 108280 6% 0.85 0.53 3.61 0.06 94.95 935 3 0 969 3 0 28/09/22 21:25:44
10 2056344 2064820 1092 0 0 1992552 108280 6% 0.85 0.53 3.61 0.06 94.95 1085 4 0 969 3 0 28/09/22 21:25:45
11 2056484 2064680 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 408 2 0 386 4 0 28/09/22 21:25:46
12 2056604 2064552 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 4539 14 0 3642 13 0 28/09/22 21:25:47
13 2056740 2064412 1092 0 0 1992552 108280 6% 0.85 0.53 3.61 0.06 94.95 0 0 0 0 0 0 28/09/22 21:25:48
14 2057472 2063672 1092 0 0 1992552 108280 6% 0.85 0.53 3.61 0.06 94.95 2020 7 0 1938 6 0 28/09/22 21:25:49
15 2056984 2064160 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 0 0 0 0 0 0 28/09/22 21:25:50
16 2057856 2063284 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 2020 7 0 1938 6 0 28/09/22 21:25:51
17 2057076 2064064 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 1859 4 0 1406 6 0 28/09/22 21:25:52
18 2057820 2063316 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 2022 7 0 1938 6 0 28/09/22 21:25:54
19 2057056 2064080 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 0 0 0 0 0 0 28/09/22 21:25:55
20 2057692 2063444 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 2430 9 0 2324 10 0 28/09/22 21:25:56
21 2056652 2064484 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 1566 4 0 336 3 0 28/09/22 21:25:57
22 2057472 2063664 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 2975 10 0 3301 10 0 28/09/22 21:25:58
23 2056824 2064312 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 0 0 0 0 0 0 28/09/22 21:25:59
24 2057752 2063380 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 1902 6 0 1938 6 0 28/09/22 21:26:00
25 2056980 2064152 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 1085 4 0 969 3 0 28/09/22 21:26:01
26 2057784 2063348 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 2297 6 0 2301 8 0 28/09/22 21:26:02
27 2056720 2064412 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 2020 7 0 1938 6 0 28/09/22 21:26:03
28 2057792 2063340 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 0 0 0 0 0 0 28/09/22 21:26:04
29 2057008 2064120 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 2020 7 0 1938 6 0 28/09/22 21:26:05
30 2057812 2063316 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 408 2 0 386 4 0 28/09/22 21:26:06
31 2057136 2063992 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 4539 14 0 3637 13 0 28/09/22 21:26:07
32 2057908 2063220 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 0 0 0 0 0 0 28/09/22 21:26:09
33 2057124 2064000 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 2084 8 0 1938 6 0 28/09/22 21:26:10
34 2057776 2063348 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 0 0 0 0 0 0 28/09/22 21:26:11
35 2056772 2064348 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 2020 7 0 1938 6 0 28/09/22 21:26:12
36 2057552 2063568 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 1859 4 0 1396 6 0 28/09/22 21:26:13
37 2057324 2063796 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 2020 7 0 1938 6 0 28/09/22 21:26:14
38 2056796 2064324 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 0 0 0 0 0 0 28/09/22 21:26:15
39 2057832 2063284 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 1463 6 0 1355 7 0 28/09/22 21:26:16
40 2057148 2063968 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 4539 14 0 3637 13 0 28/09/22 21:26:17
41 2057612 2063504 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 0 0 0 0 0 0 28/09/22 21:26:18
42 2056928 2064188 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 2020 7 0 1938 6 0 28/09/22 21:26:19
43 2057660 2063456 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 0 0 0 0 0 0 28/09/22 21:26:20
44 2057052 2064056 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 2020 7 0 1938 6 0 28/09/22 21:26:21
45 2057652 2063456 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 1861 4 0 1396 6 0 28/09/22 21:26:22
46 2056736 2064372 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 2024 7 0 1942 6 0 28/09/22 21:26:24
47 2057516 2063592 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 0 0 0 0 0 0 28/09/22 21:26:25
48 2056704 2064404 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 2432 9 0 2328 10 0 28/09/22 21:26:26
49 2057508 2063600 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 1566 4 0 336 3 0 28/09/22 21:26:27
50 2056736 2064372 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 2982 10 0 3307 10 0 28/09/22 21:26:28
51 2057540 2063568 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 0 0 0 0 0 0 28/09/22 21:26:29
52 2056736 2064372 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.96 4455287 2956 0 9597 73 0 28/09/22 21:26:30
53 2062404 2054508 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 2776084 1930 0 51180 172 0 28/09/22 21:26:31
54 2061928 2052356 1092 0 0 1992552 108280 6% 0.85 0.53 3.60 0.06 94.95 3092924 2166 0 62457 207 0 28/09/22 21:26:32
55 2062128 2049088 1092 0 0 1992552 108280 6% 0.85 0.54 3.60 0.06 94.94 3941933 2763 0 79928 251 0 28/09/22 21:26:33
56 2060820 2046420 1092 0 0 1992552 108280 6% 0.85 0.54 3.61 0.06 94.94 4161279 2905 0 81408 258 0 28/09/22 21:26:34
57 2060884 2042096 1092 0 0 1992552 108280 6% 0.85 0.54 3.61 0.06 94.93 3623507 2555 0 80632 256 0 28/09/22 21:26:35
58 2061048 2038096 1092 0 0 1992552 108280 6% 0.86 0.54 3.62 0.06 94.92 4236561 2965 0 82471 269 0 28/09/22 21:26:37
59 2059712 2018748 1092 0 0 1992552 108280 6% 0.86 0.54 3.62 0.06 94.91 3872043 2713 0 76790 249 0 28/09/22 21:26:38
60 2060396 2004264 1092 0 0 1992552 108280 6% 0.86 0.54 3.63 0.06 94.91 4226476 2958 0 82602 275 0 28/09/22 21:26:39
61 2058960 2001052 1092 0 0 1992552 108280 6% 0.86 0.54 3.63 0.06 94.90 4171884 2921 0 83027 274 0 28/09/22 21:26:40
62 2059532 1990028 1092 0 0 1992552 108280 6% 0.86 0.54 3.64 0.06 94.89 4268489 2986 0 84200 270 0 28/09/22 21:26:41
63 2058296 1986924 1092 0 0 1992552 108280 6% 0.86 0.54 3.64 0.06 94.89 3799413 2675 0 83384 267 0 28/09/22 21:26:42
64 2059200 1982184 1092 0 0 1992552 108280 6% 0.86 0.54 3.65 0.06 94.88 3964727 2781 0 81022 261 0 28/09/22 21:26:43
65 2057776 1979592 1092 0 0 1992552 108280 6% 0.87 0.54 3.65 0.06 94.87 3808808 2679 0 83006 268 0 28/09/22 21:26:44
66 2058492 1957424 1092 0 0 1992552 108280 6% 0.87 0.54 3.66 0.06 94.87 3524597 2411 0 42684 158 0 28/09/22 21:26:45
67 2057508 1954928 1092 0 0 1992552 108280 6% 0.87 0.54 3.66 0.06 94.86 4126921 2892 0 81383 271 0 28/09/22 21:26:46
68 2058128 1949896 1092 0 0 1992552 108280 6% 0.87 0.54 3.66 0.06 94.85 3692050 2551 0 58188 202 0 28/09/22 21:26:47
69 2056720 1922736 1092 0 0 1992552 108280 6% 0.87 0.55 3.67 0.06 94.85 4106897 2832 0 65083 226 0 28/09/22 21:26:48
70 2057332 1907844 1092 0 0 1992552 108280 6% 0.87 0.55 3.67 0.06 94.84 3645027 2548 0 71456 240 0 28/09/22 21:26:50
71 2055700 1905568 1092 0 0 1992552 108280 6% 0.87 0.55 3.68 0.06 94.83 3964841 2763 0 75414 249 0 28/09/22 21:26:51
72 2055352 1901820 1092 0 0 1992552 108280 6% 0.88 0.55 3.68 0.06 94.83 3992631 2804 0 83366 274 0 28/09/22 21:26:52
73 2055960 1887652 1092 0 0 1992552 108280 6% 0.88 0.55 3.69 0.06 94.82 4067355 2845 0 82788 276 0 28/09/22 21:26:53
74 2054748 1874792 1092 0 0 1992552 108280 6% 0.88 0.55 3.69 0.06 94.81 3740875 2636 0 84303 273 0 28/09/22 21:26:54
75 2055320 1870452 1092 0 0 1992552 108280 6% 0.88 0.55 3.70 0.06 94.81 4077023 2803 0 55386 199 0 28/09/22 21:26:55
76 2053640 1868020 1092 0 0 1992552 108280 6% 0.88 0.55 3.70 0.06 94.80 4109004 2886 0 84380 292 0 28/09/22 21:26:56
77 2054640 1862640 1092 0 0 1992552 108280 6% 0.88 0.55 3.70 0.06 94.79 3591097 2538 0 83820 278 0 28/09/22 21:26:57
78 2053368 1860196 1092 0 0 1992552 108280 6% 0.88 0.55 3.71 0.06 94.79 3961950 2776 0 80386 273 0 28/09/22 21:26:58
79 2053544 1855868 1092 0 0 1992552 108280 6% 0.89 0.55 3.71 0.06 94.78 4000505 2787 0 78100 252 0 28/09/22 21:26:59
80 2052328 1825496 1092 0 0 1992552 108280 6% 0.89 0.55 3.72 0.06 94.77 3539355 2496 0 82195 266 0 28/09/22 21:27:00
81 2053136 1821124 1092 0 0 1992552 108280 6% 0.89 0.56 3.72 0.06 94.76 4313233 2967 0 63089 223 0 28/09/22 21:27:02
82 2052436 1817588 1092 0 0 1992552 108280 6% 0.89 0.56 3.73 0.06 94.76 4117557 2878 0 81682 277 0 28/09/22 21:27:03
83 2052744 1813048 1092 0 0 1992552 108280 6% 0.89 0.56 3.73 0.06 94.75 3720191 2547 0 49890 176 0 28/09/22 21:27:04
84 2051748 1810068 1092 0 0 1992552 108280 6% 0.89 0.56 3.74 0.06 94.74 3438265 2415 0 73008 235 0 28/09/22 21:27:05
85 2052464 1787544 1092 0 0 1992552 108280 6% 0.89 0.56 3.74 0.06 94.74 3133481 2174 0 55711 200 0 28/09/22 21:27:06
86 2052688 1783828 1092 0 0 1992552 108280 6% 0.90 0.56 3.75 0.07 94.73 3850279 2616 0 39095 153 0 28/09/22 21:27:07
87 2051032 1781520 1092 0 0 1992552 108280 6% 0.90 0.56 3.75 0.06 94.73 3981610 2784 0 81857 267 0 28/09/22 21:27:08
88 2054196 1764676 1092 0 0 1992552 108280 6% 0.90 0.56 3.75 0.07 94.72 3599959 2515 0 71522 242 0 28/09/22 21:27:09
89 2052752 1762432 1092 0 0 1992552 108280 6% 0.90 0.56 3.76 0.07 94.71 3948315 2768 0 80842 274 0 28/09/22 21:27:10
90 2053456 1757556 1092 0 0 1992552 108280 6% 0.90 0.56 3.76 0.07 94.71 3169686 2211 0 59920 209 0 28/09/22 21:27:11
